p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero,rep,fold
39,"Had an amazing night catching up with my childhood friends! It’s been way too long since we all got together. We reminisced about our wild adventures and laughed until our sides hurt. It’s crazy how some things never change, like our inside jokes and silly stories. Grateful for these friendships that stand the test of time! Can’t wait for the next reunion!","
Happy birthday to the love of my life! You bring so much joy and laughter into my world, and I’m endlessly grateful for every moment we share. Your kindness, strength, and passion inspire me every day. Here’s to celebrating you today and all the amazing adventures ahead! Can’t wait to spoil you and make this day unforgettable. Love you to the moon and back!",Moderate,"IF a person expresses joy and gratitude for social interactions with friends, THEN extraversion is likely High because this showcases a strong appreciation for socializing.; IF a person reflects on their past experiences with friends and expresses excitement for future gatherings, THEN extraversion is likely High because this indicates a strong desire for social connection.; IF a person expresses deep affection and appreciation for their partner publicly, THEN extraversion is likely High because it demonstrates a tendency to openly share emotions in social settings.; IF a person looks forward to making special plans to celebrate their loved ones, THEN extraversion is likely High as it shows valuing social events and shared experiences.",Had an amazing night catching up with my childhood friends! It’s been way too long since we all got together.; Can’t wait for the next reunion!; Happy birthday to the love of my life! You bring so much joy and laughter into my world.; Can’t wait to spoil you and make this day unforgettable.,High,High,{'Uncategorized': 4},0,0,1,3
42,Back together again after 35 years! Childhood friends from Newton in Warwickshire reliving our fond memories of all the adventures and special times we shared together. At this moment it doesn’t seem that 35 years have passed. Sadly a few people couldn’t make it today and they are missed. Looking forward already to our next get together.,Today’s your special birthday &lt;cough&gt; I hope that you enjoy all the things I have planned for you today. And the celebrations will continue long into the night with more birthday surprises. You deserve every single one of them! Thank you for all that you do and for being you! Let’s go and celebrate! Lots of love always xxxxxx,High,"IF a person expresses joy in reconnecting with old friends and looks forward to future gatherings, THEN extraversion is likely High because this reflects a strong interest in social relationships.; IF a person shares their excitement about planning celebrations for others and mentions the ongoing festivities, THEN extraversion is likely High because this indicates a strong preference for socializing and celebrating with others.",Looking forward already to our next get together.; The celebrations will continue long into the night with more birthday surprises.,High,High,{'Uncategorized': 2},1,1,1,3
44,"How time surely flies meeting up with my old class for 08” has brought back so many good memories and some much nostalgia but glad today we are here together again and making more new memories. Growing up we always talked about this moment and how memorable it would be to be able to actually do after 10 years feels so surreal, am glad we meet so many years ago wouldn’t ask for more # when friends become family ????",when we meet online a few ago i never would imagined we would be celebrating your 34th  birthday together in this moment. I wish you many more birthdays ahead and wanted to let you know you are truly loved and appreciated everyday you bring love and warmth into our lives i could not ask for more. Many this birthday be everything you wish for and more and hope you age gracefully and we will celebrate many more birthdays together ??????????,Low,"IF a person expresses joy in reminiscing about past connections and celebrates current gatherings, THEN extraversion is likely High because this showcases a strong appreciation for social bonds and community.; IF a person shows excitement for celebrating special occasions with friends, THEN extraversion is likely High because this indicates a desire for social interactions and shared experiences.; IF a person expresses admiration and love for friends, indicating warmth in relationships, THEN extraversion is likely High because this reflects an openness to emotional connections.",How time surely flies meeting up with my old class for 08” has brought back so many good memories and some much nostalgia.; I never would imagined we would be celebrating your 34th birthday together in this moment.; You are truly loved and appreciated everyday you bring love and warmth into our lives.,High,High,{'Uncategorized': 3},0,0,1,3
46,"Such a crazy time with my bro from childhood. We got to this house party which was full of vibes. From the time we got there we knew it was going to be special. The decoration on the house was amazing. Massive shout out to whoever made the ribs, chicken wings and burgers - 10/10. Music was on point, dancing was on point too. We need to do this again.","Just want to send a special happy birthday to my wife - my best friend, my advisor, my partner in crime and in love. Your patience, kind heart, focus, intelligence and your resilience in the face of life's obstacles makes me so lucky to be called your husband. To witness and stand by the woman you've grown into is amazing. I look forward to celebrating many more birthdays with you. Happy birthday my love. ",Moderate,"IF a person expresses enjoyment in social settings or gatherings, THEN extraversion is likely High because this reflects positive engagement with others.; IF a person emphasizes the fun and excitement of social experiences, THEN extraversion is likely High because this reflects enthusiasm for social interaction.; IF a person mentions wanting to repeat social experiences or engagements, THEN extraversion is likely High because this indicates a desire for further social interaction.; IF a person makes a heartfelt public acknowledgment of a loved one, THEN extraversion is likely High because this reflects a strong connection and openness to sharing personal feelings.; IF a person expresses excitement about future shared experiences with loved ones, THEN extraversion is likely High because this indicates a commitment to social engagement.","Such a crazy time with my bro from childhood. We got to this house party which was full of vibes.; From the time we got there we knew it was going to be special. The decoration on the house was amazing.; We need to do this again.; Just want to send a special happy birthday to my wife - my best friend, my advisor, my partner in crime and in love.; I look forward to celebrating many more birthdays with you.",High,High,{'Uncategorized': 5},0,0,1,3
51,"Nothing like catching up with the people who knew you way back when life was all about playground games and ice cream. Tonight was full of laughter, nostalgia, and stories that makes sense ti us. So grateful for these lifelong friendships that pick up right where we left off, no matter how long it's been. Love childhood memories.","Happy birthday to my fav person in this whole world. I'm so lucky to walk through life with you side by side. You bring so much joy, laughter, and love into my life every day. Cheers to another year of adventures, growth, and amazing memories together. Love you more than words could explain. #Happy birthday ",High,"IF a person expresses gratitude for lifelong friendships and the joy of reconnecting, THEN extraversion is likely High because this shows a strong appreciation for social bonds and connections.; IF a person shares their excitement and appreciation for someone special in their life, THEN extraversion is likely High as it indicates strong social connections and emotional expressiveness.; IF a person mentions enjoying adventures and creating memories together, THEN extraversion is likely High because this reflects a desire for new experiences with others.","So grateful for these lifelong friendships that pick up right where we left off, no matter how long it's been.; You bring so much joy, laughter, and love into my life every day.; Cheers to another year of adventures, growth, and amazing memories together.",High,High,{'Uncategorized': 3},1,1,1,3
52,it been a long time and it has been so long we see each other since childhood i moved house and left my day ones and now it is an opportunity to meet with them again we have gone through high school and tertiary institution and everybody is happy seeing each other yeah everyone is happy to meet each other and so everyone is with their family. what a joy to meet again,happy birthday to the best friends i ever had today is a special day for you and i am happy and felicitate you on your day. long life and prosperity. what a wonderful day for you as you have been a wonderful friend it is a pleasure to share this day with you. may your heart be filled with joy and your face with smile and your day with happiness and your mind with peace,Low,"IF a person expresses joy or excitement about reuniting with friends and family, THEN they are likely to be classified as High in extraversion because it demonstrates a strong preference for social interaction and connection.; IF a person publicly celebrates their friends' milestones and expresses happiness for them, THEN this indicates a high level of extraversion because it shows they value social bonds and are enthusiastic in their support.",what a joy to meet again.; happy birthday to the best friends i ever had today is a special day for you and i am happy and felicitate you on your day.,High,High,{'Uncategorized': 2},0,0,1,3
53,"As I sit with my childhood friends, the years seem to melt away. The familiar banter, the inside jokes that we’ve carried like treasures through the years, and the way we all seem to pick up right where we left off—it’s like time stands still. I catch myself laughing more freely, feeling that easy comfort I once did when the world seemed so simple. There’s something about being with people who know you in your purest form, before the world shaped you in its various ways.

The conversation flows from old memories—those endless summer days, the mischief we got into, the places we’d hide out—and then shifts to where life has taken us. There’s a warmth in seeing how far we’ve all come, and yet, we’re still those same people at our core. It’s a reminder of roots, of the strength and depth of bonds that time and distance can never fully sever. Even as we talk about new chapters and changes, I realize how much of my past is written in the pages of these friendships.

It feels like being wrapped in a blanket of shared history, and for a moment, I feel grounded again—anchored in who I was, who I am, and who I will always be to these people. The laughter, the ease, the nostalgia—it’s all a kind of reminder that some things, like friendship, never truly change.","Another year with you feels like a gift I get to unwrap every single day. Watching you grow, laugh, and be the incredible person you are fills me with so much pride and gratitude. You are my heart, my best friend, and the person who makes everything brighter just by being you. ??

Thank you for the countless memories we’ve already made and the many more to come. Here’s to celebrating you today (and always), to all your dreams coming true, and to the endless adventures ahead. I’m beyond lucky to walk through life with you by my side. ????

You deserve all the happiness in the world, today and always. I love you more than words could ever say. ?? #BirthdayQueen/King #LuckyToCallYouMine",Moderate,"IF a person expresses joy and gratitude for friendships and relationships, THEN extraversion is likely High because this indicates a strong appreciation for social connections.; IF a person reflects on shared experiences and the value of friendships, THEN extraversion is likely High because this demonstrates enjoyment in social interactions and connection.; IF a person talks about future adventures and spending time with loved ones, THEN extraversion is likely High because this shows enthusiasm for social activities","Watching you grow, laugh, and be the incredible person you are fills me with so much pride and gratitude.; It feels like being wrapped in a blanket of shared history, and for a moment, I feel grounded again—anchored in who I was, who I am, and who I will always be to these people.; Here’s to celebrating you today (and always), to all your dreams coming true, and to the endless adventures ahead.",High,High,{'Uncategorized': 3},0,0,1,3
54,"so after an exciting wait - we finally all met up , Parsons meads Class of 1987. It had been a while and now we all had a few more wrinkles and grey hairs. The room was full of laughter and hugs and kisses as we all remembered the school days. we had a laugh and caught up with all the news about our families and planned the next catch up.
","So my darling hubbie, the big day has come - the big 50. Half a century , wow who would have thought it. We have know each other for 33 years of that time, where has it gone. A few more grey hairs and wrinkles between us but we have 2 lovely kids and a great family. Happy Birthday!",High,"IF a person expresses joy and excitement about meeting friends and reminiscing, THEN extraversion is likely High because it shows a love for social interaction and community.; IF a person shares personal milestones and celebrations in a warm and enthusiastic manner, THEN extraversion is likely High because it indicates an enjoyment of social bonds.","The room was full of laughter and hugs and kisses as we all remembered the school days.; So my darling hubbie, the big day has come - the big 50. Happy Birthday!",High,High,{'Uncategorized': 2},1,1,1,3
55,"Highschool reunion! Had such a blast hanging out with these lovely people. Thank you Annie for organising and getting us all back together for such a fun and frivolous evening. Good food, excellent drinks and brilliant company. Would definitely recommend the venue we were hanging out in. And the theme was so much fun! I think we looked amazing in our fancy dress.","Congrats Jamie for surviving another year! It's definitely been a wild one between miving in, new job and adopting our first fur baby. I feel very lucky to be able to celebrate this birthday with you. Here we are enjoying dinner at the Sky Garden, picture taken by our lovely server for the evening. Can't wait to make more memories like this with you.",Moderate,"IF a person expresses joy and appreciation for social gatherings and time spent with others, THEN extraversion is likely High because this indicates a love for social interaction.; IF a person mentions looking forward to future social events or cherishes past memories with others, THEN extraversion is likely High because it shows a strong desire for social connection.",Had such a blast hanging out with these lovely people.; Can't wait to make more memories like this with you.,High,High,{'Uncategorized': 2},0,0,1,3
2,"Such a great night with this incredible bunch, but I'm feeling it this morning! Everyone needs those friends who know you so well, who'll see you through anything and everything. And no matter how old we get are still up for a good girls night out, even if it now takes us two days to recover! Night at Sixways is always the best, love this place, and Love you all ???? ","It's official, he's getting older! Happy birthday to my gorgeous husband, another year old and not any wiser! The kindest, funniest soul I will ever meet, and the most amazing dog Dad you could ever find. Looking forward to spoiling you rotten today - and maybe a few surprises this weekend! Happy birthday favourite human xoxo",High,"IF a person expresses appreciation for their friends and their companionship during social events, THEN extraversion is likely High because this reflects a strong value placed on social connections.; IF a person mentions being excited about celebrating a loved one's birthday with planned activities, THEN extraversion is likely High because this indicates a desire to engage in social celebrations.","Such a great night with this incredible bunch, but I'm feeling it this morning!; Looking forward to spoiling you rotten today - and maybe a few surprises this weekend!",High,High,{'Uncategorized': 2},1,1,1,3
3,"We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out. Once they came here we spent the evening wining and dining. I must stay i think i out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert. Alongside we drank many bottes of wine and had many shots. Feeling it today haha!","Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you. Love you forever and always xx Your the most and gentle person ever and make me the happiest girl alive. The love you give me is the best",Moderate,"IF a person describes social gatherings with friends and expresses enjoyment of these experiences, THEN extraversion is likely High because this indicates a positive attitude towards social interactions.; IF a person expresses enthusiasm for spending time with loved ones and shares intimate moments in their relationship, THEN extraversion is likely High because this reflects a strong desire for connection and social bonds.","We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out.; Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you.",High,High,{'Uncategorized': 2},0,0,1,3
9,"Day 1s! 
We finally met up after so long - It was so lovely to catch up with all of you. It has been way too long since we last saw each other, and it really good to hear that you're all doing well. So much has changed since we used to see each other daily, but somehow it feels like no time has passed when we got back togehter
Let me know when you're all back in town - we can hang out again.","Happy birthday!!
I hope you had an amazing day with friends and family - and thank you for letting me share it with you. I'm so proud of all you've achieved this past year. It has been full of many great times and I'm sure the next year will be full of lots of new opportunities. I look forward to spending the next year with you 
See you later today!",Moderate,"IF a person expresses happiness and appreciation for reconnecting with friends, THEN extraversion is likely High because this reflects a strong social connection.; IF a person shows eagerness to spend time with others in the future, THEN extraversion is likely High because it reflects a desire for social interaction.; IF a person expresses joy in celebrating others' milestones and spending time with them, THEN extraversion is likely High because it shows enthusiasm for social events.; IF a person looks forward to future gatherings or events with others, THEN extraversion is likely High because it demonstrates a proactive approach to social interaction.",It was so lovely to catch up with all of you.; Let me know when you're all back in town - we can hang out again.; Happy birthday!! I hope you had an amazing day with friends and family - and thank you for letting me share it with you.; I look forward to spending the next year with you.,High,High,{'Uncategorized': 4},0,0,1,3
10,"having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time. we mustn't leave it so long next time. just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique ! I hope everyone doesn't leave the room when I start singing otherwise i'll never dare pick up a microphone ever again.  Talking about old times at school was a blast....rekindled many good memories.","Happy Birthday to Khaleesy ! Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you  xxxxx

You always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha

happy birthday to you, happy birthday to you, happy birthday Khaleesy, Happy Birthday too youuuuuuuuuuuuuu....uuuuuuuu xxxxx",High,"IF a person expresses excitement about an event and displays a willingness to engage socially, THEN extraversion is likely High because this reflects a desire for social interactions and connections.; IF a person demonstrates an eagerness to participate in group activities, such as singing karaoke, THEN extraversion is likely High as it indicates a willingness to be socially active.; IF a person expresses affection and warmth in their messages, indicating a close connection with others, THEN extraversion is likely High as it shows strong social bonds.; IF a person makes an effort to communicate in a lively and enthusiastic manner, such as writing a long message or expressing humor, THEN extraversion is likely High because it reflects engagement with social interactions.","having a brill time at the reunion, saw lots of faces i've not seen in a longggggg time.; just waiting for the karaoke to begin so i can impress everyone with a bit of Enrique!; Hope you liked the flowers babe, I'll see you when I get home ....expect the princess treatment !!! love you xxxxx; you always say that my messages on here are too short so i'm making an effort to write you a longgggggggggggggggggg one this time hahaha",High,High,{'Uncategorized': 4},1,1,1,3
12,"Had a great catch up with my old school pals. 
Dinner was lovely and lots of laughs and drinks as usual! Always great to see them and amazing that we are all still friends after over 30 years.
Can't wait until the next one in December . Hope everyone can make it as it's going to be a special trip!","Wishing you the happiest of birthdays. You deserve to have the best day!
Thanks for being the most amazing and supportive partner.
We all appreciate everything you do for us .
We hope you love your surprise party .. you won't read this until after , so it's safe to write this :-) Lots of love ...",Moderate,"IF a person expresses joy and excitement about social interactions and future plans, THEN extraversion is likely High as this shows a strong inclination towards socializing and valuing relationships.; IF a person talks about planning and looking forward to social events with others, THEN extraversion is likely High because this reflects an active engagement in social life.; IF a person expresses warm feelings and gratitude towards others and celebrates their achievements, THEN extraversion is likely High because this indicates a focus on social relationships and emotional connections.; IF a person uses affectionate language and appreciates the contributions of close relationships, THEN extraversion is likely High as this reflects the importance they place on social bonds.",Had a great catch up with my old school pals. Dinner was lovely and lots of laughs and drinks as usual!; Can't wait until the next one in December. Hope everyone can make it as it's going to be a special trip!; Wishing you the happiest of birthdays. You deserve to have the best day!; Thanks for being the most amazing and supportive partner. We all appreciate everything you do for us.,High,High,{'Uncategorized': 4},0,0,1,3
14,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,High,"IF a person expresses gratitude and appreciation for their loved ones and highlights the importance of social connections, THEN extraversion is likely High because this shows a deep engagement with social relationships.; IF a person shares their excitement and affection for someone on a special occasion, THEN extraversion is likely High because this indicates enthusiasm and joy in social interactions.; IF a person mentions enjoying social activities such as going for drinks or eating out with friends or family, THEN extraversion is likely High because it reflects a preference for engaging in social environments.","My loved ones are what keep me going. I'm so blessed to be able to call you guys my family.; HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year.; Whether we go for drinks, go out to eat, or are just kicked back smoking and talking.",High,High,{'Uncategorized': 3},1,1,1,3
15,"Just got back from a reunion with some friends from back home! These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit. Hope to see you guys soon!! Keep it real @xComedyCheesex @Crazygamer05 @7evenup","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love, I hope that we can spend many more together! P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3",High,"IF a person shares experiences about social gatherings and expresses affection towards friends, THEN extraversion is likely High because this reflects a strong social connection and enjoyment of social interactions.; IF a person shows enthusiasm for maintaining relationships and celebrates personal connections, THEN extraversion is likely High because this indicates a reminder of social ties and interpersonal warmth.","Just got back from a reunion with some friends from back home!; happy birthday my love, I hope that we can spend many more together!",High,High,{'Uncategorized': 2},1,1,1,3
17,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,"IF a person shares a story about going out and having a wild time with others, THEN extraversion is likely High because this reflects enjoyment of social interaction and shared experiences.; IF a person expresses excitement about social events and emphasizes the enjoyment of celebrating others, THEN extraversion is likely High because this indicates a focus on social connections and collective joy.","What a wild time we've had, you would think that we were in 2004 living our best life at XXX university!; I hope you will enjoy the celebrations we planned for you today.",High,High,{'Uncategorized': 2},1,1,1,3
