p,matched_rules,true_label,pred_label,score
28,"IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.; IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.",Low,Moderate,0
29,"IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.",Moderate,Low,0
30,"IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.; IF a person uses enthusiastic and detailed language to describe a social event or gathering in a post, THEN openness is likely High because this indicates engagement with new experiences and enjoyment of diverse activities.; IF a person enthusiastically shares specific details about new activities or experiences in a post, THEN openness is likely High because this demonstrates a readiness to try new things and engage with different environments.",Low,High,0
31,"IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.; IF a person enthusiastically shares specific details about new activities or experiences in a post, THEN openness is likely High because this demonstrates a readiness to try new things and engage with different environments.",Low,High,0
32,"IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.; IF a person uses enthusiastic and detailed language to describe a social event or gathering in a post, THEN openness is likely High because this indicates engagement with new experiences and enjoyment of diverse activities.",High,High,1
33,"IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.; IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.",Moderate,Moderate,1
34,"IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.",Low,Low,1
35,"IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.; IF a person enthusiastically shares specific details about new activities or experiences in a post, THEN openness is likely High because this demonstrates a readiness to try new things and engage with different environments.",High,High,1
36,"IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.; IF a person uses enthusiastic and detailed language to describe a social event or gathering in a post, THEN openness is likely High because this indicates engagement with new experiences and enjoyment of diverse activities.",Moderate,High,0
37,"IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.",High,Low,0
38,"IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.",High,Low,0
39,"IF a person expresses excitement about meeting friends after a long time and recommends similar experiences to others in a post, THEN openness is likely High because this shows a willingness to engage with new social experiences.; IF a person enthusiastically shares specific details about new activities or experiences in a post, THEN openness is likely High because this demonstrates a readiness to try new things and engage with different environments.",Moderate,High,0
40,"IF a person refers to enjoying familiar activities without exploring new experiences in their posts, THEN openness is likely Low because this suggests a tendency towards routine rather than seeking out fresh experiences.",Low,Low,1
41,"IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.; IF a person describes meeting up with friends and engaging in fun activities like karaoke or reminiscing about the past, THEN openness is likely High because this reflects a willingness to participate in enjoyable and potentially new experiences.",Moderate,High,0
42,"IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.; IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.",Low,Moderate,0
43,"IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.; IF a person uses casual or unrefined language while discussing past activities without any reference to new experiences, THEN openness is likely Low because this indicates a lack of interest in exploring beyond familiar comfort zones.",Low,Low,1
44,"IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.; IF a person describes meeting up with friends and engaging in fun activities like karaoke or reminiscing about the past, THEN openness is likely High because this reflects a willingness to participate in enjoyable and potentially new experiences.",High,High,1
45,"IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.; IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.",Low,Low,1
46,"IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.; IF a person describes meeting up with friends and engaging in fun activities like karaoke or reminiscing about the past, THEN openness is likely High because this reflects a willingness to participate in enjoyable and potentially new experiences.",High,High,1
47,"IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.; IF a person describes meeting up with friends and engaging in fun activities like karaoke or reminiscing about the past, THEN openness is likely High because this reflects a willingness to participate in enjoyable and potentially new experiences.",High,High,1
48,"IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.; IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.",Moderate,Moderate,1
49,"IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.; IF a person uses casual or unrefined language while discussing past activities without any reference to new experiences, THEN openness is likely Low because this indicates a lack of interest in exploring beyond familiar comfort zones.",Low,Low,1
50,"IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.; IF a person uses casual or unrefined language while discussing past activities without any reference to new experiences, THEN openness is likely Low because this indicates a lack of interest in exploring beyond familiar comfort zones.",Low,Low,1
51,"IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.; IF a person uses casual or unrefined language while discussing past activities without any reference to new experiences, THEN openness is likely Low because this indicates a lack of interest in exploring beyond familiar comfort zones.",Moderate,Low,0
52,"IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.; IF a person uses casual or unrefined language while discussing past activities without any reference to new experiences, THEN openness is likely Low because this indicates a lack of interest in exploring beyond familiar comfort zones.",High,Low,0
53,"IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.; IF a person uses casual or unrefined language while discussing past activities without any reference to new experiences, THEN openness is likely Low because this indicates a lack of interest in exploring beyond familiar comfort zones.",Moderate,Low,0
54,"IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.; IF a person describes meeting up with friends and engaging in fun activities like karaoke or reminiscing about the past, THEN openness is likely High because this reflects a willingness to participate in enjoyable and potentially new experiences.",Low,High,0
55,"IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.; IF a person describes meeting up with friends and engaging in fun activities like karaoke or reminiscing about the past, THEN openness is likely High because this reflects a willingness to participate in enjoyable and potentially new experiences.",Low,High,0
56,"IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.; IF a person describes meeting up with friends and engaging in fun activities like karaoke or reminiscing about the past, THEN openness is likely High because this reflects a willingness to participate in enjoyable and potentially new experiences.",High,High,1
57,"IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.; IF a person describes meeting up with friends and engaging in fun activities like karaoke or reminiscing about the past, THEN openness is likely High because this reflects a willingness to participate in enjoyable and potentially new experiences.; IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.",Low,Moderate,0
58,"IF a person expresses a desire to catch up with friends after a long time and shares positive experiences about the reunion, THEN openness is likely High because this indicates enthusiasm for reconnecting and experiencing social interactions.; IF a person describes meeting up with friends and engaging in fun activities like karaoke or reminiscing about the past, THEN openness is likely High because this reflects a willingness to participate in enjoyable and potentially new experiences.; IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.",Low,Moderate,0
59,"IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.; IF a person uses casual or unrefined language while discussing past activities without any reference to new experiences, THEN openness is likely Low because this indicates a lack of interest in exploring beyond familiar comfort zones.",Low,Low,1
60,"IF a person reminisces about significant relationships and expresses appreciation for past experiences rather than seeking new activities, THEN openness is likely Low because this suggests a preference for familiar interactions over new experiences.; IF a person uses casual or unrefined language while discussing past activities without any reference to new experiences, THEN openness is likely Low because this indicates a lack of interest in exploring beyond familiar comfort zones.",High,Low,0
