p,matched_rules,true_label,pred_label,score
24,"IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.; IF a person expresses enjoyment while participating in activities such as bowling or karaoke, demonstrating engagement with new experiences, THEN openness is likely High because they are seeking varied and adventurous interactions.; IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.",High,High,1
25,"IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.; IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.",Moderate,Low,0
26,"IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.; IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.",Moderate,Low,0
27,"IF a person describes their experience with friends in a generalized manner, indicating they do not remember new details about old acquaintances, THEN openness is likely Low because it suggests a lack of curiosity for exploring new relationships.; IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.",Moderate,Low,0
28,"IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.; IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.; IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.",Low,Moderate,0
29,"IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.; IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.",Moderate,Low,0
30,"IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.; IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.",Low,High,0
31,"IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.; IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.",Low,High,0
32,"IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.; IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.",High,Low,0
33,"IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.; IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.",Moderate,Low,0
34,"IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.; IF a person reveals a desire and hopefulness for more positive experiences with individuals in their posts, THEN openness is likely High because it indicates a willingness to engage in new activities and environments.; IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.",Low,Moderate,0
35,"IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.; IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.",High,High,1
36,"IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.; IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.",Moderate,High,0
37,"IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.; IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.",High,Low,0
38,"IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.; IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.; IF a person mentions past experiences and good times in a way that suggests a focus on what they have already done rather than anticipating new adventures, THEN openness is likely Low because it reflects a lack of interest in change or novelty.",High,Low,0
39,"IF a person shows in a post excitement about reuniting with old friends and recommends others to try similar experiences, THEN openness is likely High because they express enthusiasm for new connections and shared experiences.; IF a person indicates they look forward to upcoming events and adventures with a sense of excitement for new experiences, THEN openness is likely High because they demonstrate enthusiasm for potential opportunities.; IF a person reveals a desire and hopefulness for more positive experiences with individuals in their posts, THEN openness is likely High because it indicates a willingness to engage in new activities and environments.",Moderate,High,0
40,"IF a person shows in a post that they have fond memories of spending time with long-known friends without indicating interest in new experiences, THEN openness is likely Low because they exhibit a preference for familiarity over new social interactions.; IF a person describes spending time with friends nostalgically and states that they have only revisited familiar experiences, THEN openness is likely Low because it suggests a resistance to exploring new activities or environments.; IF a person refers to relationships with existing friends in a serious and formal tone, showing little desire for new interactions, THEN openness is likely Low because it indicates a preference for routine and established connections.",Low,Low,1
41,"IF a person expresses happiness about catching up with friends after a long time and shows eagerness to make future plans, THEN openness is likely High because this indicates a desire for ongoing social engagement and new interactions;; IF a person expresses joy and anticipation about future social events with a positive, humorous tone, THEN openness is likely High because this indicates a playful attitude towards life and willingness to embrace new activities;",Moderate,High,0
42,"IF a person expresses happiness about catching up with friends after a long time and shows eagerness to make future plans, THEN openness is likely High because this indicates a desire for ongoing social engagement and new interactions;; IF a person expresses joy and anticipation about future social events with a positive, humorous tone, THEN openness is likely High because this indicates a playful attitude towards life and willingness to embrace new activities;",Low,High,0
43,"IF a person shows in a post a preference for traditional activities with friends and reflects on past experiences without indicating interest in new experiences, THEN openness is likely Low because this suggests a comfort in routine and familiarity rather than exploration;; IF a person writes about meeting friends from the past but emphasizes regret about past activities without expressing desire for new experiences, THEN openness is likely Low because this reflects nostalgia for the past without openness to current or novel situations;; IF a person expresses a sense of comfort and routine in social engagements, along with a lack of exploration in their language, THEN openness is likely Low because this suggests a preference for the familiar over the adventurous;",Low,Low,1
44,"IF a person expresses happiness about catching up with friends after a long time and shows eagerness to make future plans, THEN openness is likely High because this indicates a desire for ongoing social engagement and new interactions;; IF a person writes about meeting friends from the past but emphasizes regret about past activities without expressing desire for new experiences, THEN openness is likely Low because this reflects nostalgia for the past without openness to current or novel situations;",High,Moderate,0
45,"IF a person shows in a post a preference for traditional activities with friends and reflects on past experiences without indicating interest in new experiences, THEN openness is likely Low because this suggests a comfort in routine and familiarity rather than exploration;; IF a person writes about meeting friends from the past but emphasizes regret about past activities without expressing desire for new experiences, THEN openness is likely Low because this reflects nostalgia for the past without openness to current or novel situations;; IF a person expresses a sense of comfort and routine in social engagements, along with a lack of exploration in their language, THEN openness is likely Low because this suggests a preference for the familiar over the adventurous;",Low,Low,1
46,"IF a person shows in a post excitement about reuniting with childhood friends and recommends others to try it, THEN openness is likely High because this reflects a willingness to engage in new experiences and share them positively with others;; IF a person expresses happiness about catching up with friends after a long time and shows eagerness to make future plans, THEN openness is likely High because this indicates a desire for ongoing social engagement and new interactions;; IF a person expresses joy and anticipation about future social events with a positive, humorous tone, THEN openness is likely High because this indicates a playful attitude towards life and willingness to embrace new activities;",High,High,1
47,"IF a person expresses happiness about catching up with friends after a long time and shows eagerness to make future plans, THEN openness is likely High because this indicates a desire for ongoing social engagement and new interactions;; IF a person expresses joy and anticipation about future social events with a positive, humorous tone, THEN openness is likely High because this indicates a playful attitude towards life and willingness to embrace new activities;",High,High,1
48,"IF a person shows in a post excitement about reuniting with childhood friends and recommends others to try it, THEN openness is likely High because this reflects a willingness to engage in new experiences and share them positively with others.; IF a person expresses happiness about catching up with friends after a long time and shows eagerness to make future plans, THEN openness is likely High because this indicates a desire for ongoing social engagement and new interactions.; IF a person writes about meeting friends from the past but emphasizes regret about past activities without expressing desire for new experiences, THEN openness is likely Low because this reflects nostalgia for the past without openness to current or novel situations.",Moderate,Moderate,1
49,"IF a person writes about meeting friends from the past but emphasizes regret about past activities without expressing desire for new experiences, THEN openness is likely Low because this reflects nostalgia for the past without openness to current or novel situations.; IF a person expresses a sense of comfort and routine in social engagements, along with a lack of exploration in their language, THEN openness is likely Low because this suggests a preference for the familiar over the adventurous.; IF a person uses language that suggests they prefer to stick to familiar friends and activities without indicating an openness to new experiences, THEN openness is likely Low because this suggests a reluctance to venture beyond their comfort zone.",Low,Low,1
50,"IF a person writes about meeting friends from the past but emphasizes regret about past activities without expressing desire for new experiences, THEN openness is likely Low because this reflects nostalgia for the past without openness to current or novel situations.; IF a person expresses a sense of comfort and routine in social engagements, along with a lack of exploration in their language, THEN openness is likely Low because this suggests a preference for the familiar over the adventurous.",Low,Low,1
51,"IF a person shows in a post a preference for traditional activities with friends and reflects on past experiences without indicating interest in new experiences, THEN openness is likely Low because this suggests a comfort in routine and familiarity rather than exploration;; IF a person writes about meeting friends from the past but emphasizes regret about past activities without expressing desire for new experiences, THEN openness is likely Low because this reflects nostalgia for the past without openness to current or novel situations;",Moderate,Low,0
52,"IF a person expresses happiness about catching up with friends after a long time and shows eagerness to make future plans, THEN openness is likely High because this indicates a desire for ongoing social engagement and new interactions;; IF a person expresses joy and anticipation about future social events with a positive, humorous tone, THEN openness is likely High because this indicates a playful attitude towards life and willingness to embrace new activities;",High,High,1
53,"IF a person expresses happiness about catching up with friends after a long time and shows eagerness to make future plans, THEN openness is likely High because this indicates a desire for ongoing social engagement and new interactions;; IF a person expresses a sense of comfort and routine in social engagements, along with a lack of exploration in their language, THEN openness is likely Low because this suggests a preference for the familiar over the adventurous;",Moderate,Low,0
54,"IF a person expresses happiness about catching up with friends after a long time and shows eagerness to make future plans, THEN openness is likely High because this indicates a desire for ongoing social engagement and new interactions.; IF a person expresses joy and anticipation about future social events with a positive, humorous tone, THEN openness is likely High because this indicates a playful attitude towards life and willingness to embrace new activities.",Low,High,0
55,"IF a person shows in a post excitement about reuniting with childhood friends and recommends others to try it, THEN openness is likely High because this reflects a willingness to engage in new experiences and share them positively with others;; IF a person expresses joy and anticipation about future social events with a positive, humorous tone, THEN openness is likely High because this indicates a playful attitude towards life and willingness to embrace new activities;",Low,High,0
56,"IF a person shows in a post excitement about reuniting with childhood friends and recommends others to try it, THEN openness is likely High because this reflects a willingness to engage in new experiences and share them positively with others;; IF a person expresses joy and anticipation about future social events with a positive, humorous tone, THEN openness is likely High because this indicates a playful attitude towards life and willingness to embrace new activities;",High,High,1
57,"IF a person expresses happiness about catching up with friends after a long time and shows eagerness to make future plans, THEN openness is likely High because this indicates a desire for ongoing social engagement and new interactions;; IF a person expresses joy and anticipation about future social events with a positive, humorous tone, THEN openness is likely High because this indicates a playful attitude towards life and willingness to embrace new activities;",Low,High,0
58,"IF a person shows in a post excitement about reuniting with childhood friends and recommends others to try it, THEN openness is likely High because this reflects a willingness to engage in new experiences and share them positively with others;; IF a person expresses happiness about catching up with friends after a long time and shows eagerness to make future plans, THEN openness is likely High because this indicates a desire for ongoing social engagement and new interactions;; IF a person expresses joy and anticipation about future social events with a positive, humorous tone, THEN openness is likely High because this indicates a playful attitude towards life and willingness to embrace new activities;",Low,High,0
59,"IF a person writes about meeting friends from the past but emphasizes regret about past activities without expressing desire for new experiences, THEN openness is likely Low because this reflects nostalgia for the past without openness to current or novel situations.; IF a person expresses a sense of comfort and routine in social engagements, along with a lack of exploration in their language, THEN openness is likely Low because this suggests a preference for the familiar over the adventurous.",Low,Low,1
60,"IF a person shows in a post a preference for traditional activities with friends and reflects on past experiences without indicating interest in new experiences, THEN openness is likely Low because this suggests a comfort in routine and familiarity rather than exploration;; IF a person writes about meeting friends from the past but emphasizes regret about past activities without expressing desire for new experiences, THEN openness is likely Low because this reflects nostalgia for the past without openness to current or novel situations;",High,Low,0
