p,matched_rules,true_label,pred_label,score
19,"IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.; IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.; IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.",High,High,1
20,"IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.; IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.",High,High,1
21,"IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.; IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.",Low,Low,1
22,"IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.; IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.",Moderate,High,0
23,"IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.; IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.",Moderate,Low,0
24,"IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.; IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.",High,Moderate,0
25,"IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.; IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.",Moderate,High,0
26,"IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.; IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.",Moderate,Low,0
27,"IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.; IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.",Moderate,Low,0
28,"IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.; IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.",Low,Low,1
29,"IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.; IF a person reflects on past experiences rather than indicating any plans or excitement about new activities, THEN openness is likely Low because this implies a lack of interest in exploring new opportunities.",Moderate,Low,0
30,"IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.; IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.",Low,High,0
31,"IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.; IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.",Low,High,0
32,"IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.; IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.; IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.",High,Moderate,0
33,"IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.; IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.",Moderate,Low,0
34,"IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.; IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.; IF a person shares in a post that they reflect on past experiences rather than indicating any plans or excitement about new activities, THEN openness is likely Low because this implies a lack of interest in exploring new opportunities.; IF a person expresses a carefree attitude towards new experiences and spontaneity, often mentioning enjoyment in the moment without reservation, THEN openness is likely High because this indicates a willingness to embrace unpredictability.",Low,High,0
35,"IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.; IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.; IF a person expresses a carefree attitude towards new experiences and spontaneity, often mentioning enjoyment in the moment without reservation, THEN openness is likely High because this indicates a willingness to embrace unpredictability.",High,High,1
36,"IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.; IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.",Moderate,High,0
37,"IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.; IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.",High,Low,0
38,"IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.; IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.",High,Low,0
39,"IF a person shows in a post a desire to reconnect with old friends and shares excitement about the experience, THEN openness is likely High because this indicates a willingness to engage with past memories and people, suggesting openness to new experiences.; IF a person shows in a post enthusiasm for a planned gathering or event, indicating hopefulness for future positive interactions, THEN openness is likely High because this reflects a desire for new and enjoyable experiences with others.; IF a person expresses a carefree attitude towards new experiences and spontaneity, often mentioning enjoyment in the moment without reservation, THEN openness is likely High because this indicates a willingness to embrace unpredictability.",Moderate,High,0
40,"IF a person shows in a post a tendency to focus on long-standing relationships or expresses gratitude for existing connections without indicating interest in new experiences, THEN openness is likely Low because this suggests a preference for the familiar over the unknown.; IF a person recalls past experiences with a sense of nostalgia and discusses engagements that emphasize routine, THEN openness is likely Low because it suggests comfort in familiarity and a lack of inclination towards novel experiences.",Low,Low,1
41,"IF a person expresses joy about meeting acquaintances after a long time and looks forward to future positive experiences with them, THEN openness is likely High because it demonstrates a keenness for maintaining and enhancing social relationships and experiences.; IF a person shares in a post their excitement about reuniting with childhood friends and recommends others try similar experiences, THEN openness is likely High because it indicates a willingness to embrace new connections and opportunities.",Moderate,High,0
42,"IF a person shares in a post their excitement about reuniting with childhood friends and recommends others try similar experiences, THEN openness is likely High because it indicates a willingness to embrace new connections and opportunities.; IF a person expresses joy about meeting acquaintances after a long time and looks forward to future positive experiences with them, THEN openness is likely High because it demonstrates a keenness for maintaining and enhancing social relationships and experiences.; IF a person describes jumping into spontaneous activities or shows flexibility in their plans, THEN openness is likely High because it indicates an openness to spontaneity and new experiences.",Low,High,0
43,"IF a person writes about a reunion with childhood friends but seems to reflect more on past memories than express excitement about new experiences, THEN openness is likely Low because it suggests a preference for familiar and routine interactions over exploring new possibilities.; IF a person describes their enjoyment of familiar activities and reflects nostalgically on the past without indicating an interest in new experiences, THEN openness is likely Low because it highlights a tendency to remain within their comfort zone.; IF a person emphasizes staying within familiar social gatherings and does not suggest future plans that include diverse activities, THEN openness is likely Low because it indicates a reluctance to pursue novel experiences.",Low,Low,1
44,"IF a person shares in a post their excitement about reuniting with childhood friends and recommends others try similar experiences, THEN openness is likely High because it indicates a willingness to embrace new connections and opportunities.; IF a person writes about a reunion with childhood friends but seems to reflect more on past memories than express excitement about new experiences, THEN openness is likely Low because it suggests a preference for familiar and routine interactions over exploring new possibilities.; IF a person expresses joy about meeting acquaintances after a long time and looks forward to future positive experiences with them, THEN openness is likely High because it demonstrates a keenness for maintaining and enhancing social relationships and experiences.",High,Moderate,0
45,"IF a person writes about a reunion with childhood friends but seems to reflect more on past memories than express excitement about new experiences, THEN openness is likely Low because it suggests a preference for familiar and routine interactions over exploring new possibilities.; IF a person emphasizes staying within familiar social gatherings and does not suggest future plans that include diverse activities, THEN openness is likely Low because it indicates a reluctance to pursue novel experiences.",Low,Low,1
46,"IF a person expresses joy about meeting acquaintances after a long time and looks forward to future positive experiences with them, THEN openness is likely High because it demonstrates a keenness for maintaining and enhancing social relationships and experiences.; IF a person reflects positively on changes in their friends over time while showing emotional engagement with life’s cycles, THEN openness is likely High because it signifies receptivity to growth and new perspectives.",High,High,1
47,"IF a person expresses joy about meeting acquaintances after a long time and looks forward to future positive experiences with them, THEN openness is likely High because it demonstrates a keenness for maintaining and enhancing social relationships and experiences.; IF a person focuses on past friendships and reuniting without mentioning new activities or experiences that could broaden their social network, THEN openness is likely Low because it reflects a limited engagement with new interactions.",High,Moderate,0
48,"IF a person writes about a reunion with childhood friends but seems to reflect more on past memories than express excitement about new experiences, THEN openness is likely Low because it suggests a preference for familiar and routine interactions over exploring new possibilities.; IF a person describes their enjoyment of familiar activities and reflects nostalgically on the past without indicating an interest in new experiences, THEN openness is likely Low because it highlights a tendency to remain within their comfort zone.",Moderate,Low,0
49,"IF a person writes about a reunion with childhood friends but seems to reflect more on past memories than express excitement about new experiences, THEN openness is likely Low because it suggests a preference for familiar and routine interactions over exploring new possibilities.; IF a person describes their enjoyment of familiar activities and reflects nostalgically on the past without indicating an interest in new experiences, THEN openness is likely Low because it highlights a tendency to remain within their comfort zone.; IF a person focuses on past friendships and reuniting without mentioning new activities or experiences that could broaden their social network, THEN openness is likely Low because it reflects a limited engagement with new interactions.",Low,Low,1
50,"IF a person writes about a reunion with childhood friends but seems to reflect more on past memories than express excitement about new experiences, THEN openness is likely Low because it suggests a preference for familiar and routine interactions over exploring new possibilities.; IF a person describes their enjoyment of familiar activities and reflects nostalgically on the past without indicating an interest in new experiences, THEN openness is likely Low because it highlights a tendency to remain within their comfort zone.",Low,Low,1
51,"IF a person writes about a reunion with childhood friends but seems to reflect more on past memories than express excitement about new experiences, THEN openness is likely Low because it suggests a preference for familiar and routine interactions over exploring new possibilities.; IF a person describes their enjoyment of familiar activities and reflects nostalgically on the past without indicating an interest in new experiences, THEN openness is likely Low because it highlights a tendency to remain within their comfort zone.; IF a person focuses on past friendships and reuniting without mentioning new activities or experiences that could broaden their social network, THEN openness is likely Low because it reflects a limited engagement with new interactions.",Moderate,Low,0
52,"IF a person writes about a reunion with childhood friends but seems to reflect more on past memories than express excitement about new experiences, THEN openness is likely Low because it suggests a preference for familiar and routine interactions over exploring new possibilities.; IF a person focuses on past friendships and reuniting without mentioning new activities or experiences that could broaden their social network, THEN openness is likely Low because it reflects a limited engagement with new interactions.",High,Low,0
53,"IF a person writes about a reunion with childhood friends but seems to reflect more on past memories than express excitement about new experiences, THEN openness is likely Low because it suggests a preference for familiar and routine interactions over exploring new possibilities.; IF a person describes their enjoyment of familiar activities and reflects nostalgically on the past without indicating an interest in new experiences, THEN openness is likely Low because it highlights a tendency to remain within their comfort zone.; IF a person emphasizes staying within familiar social gatherings and does not suggest future plans that include diverse activities, THEN openness is likely Low because it indicates a reluctance to pursue novel experiences.",Moderate,Low,0
54,"IF a person expresses joy about meeting acquaintances after a long time and looks forward to future positive experiences with them, THEN openness is likely High because it demonstrates a keenness for maintaining and enhancing social relationships and experiences.; IF a person reflects positively on changes in their friends over time while showing emotional engagement with life’s cycles, THEN openness is likely High because it signifies receptivity to growth and new perspectives.",Low,High,0
55,"IF a person shares in a post their excitement about reuniting with childhood friends and recommends others try similar experiences, THEN openness is likely High because it indicates a willingness to embrace new connections and opportunities.; IF a person expresses joy about meeting acquaintances after a long time and looks forward to future positive experiences with them, THEN openness is likely High because it demonstrates a keenness for maintaining and enhancing social relationships and experiences.; IF a person reflects positively on changes in their friends over time while showing emotional engagement with life’s cycles, THEN openness is likely High because it signifies receptivity to growth and new perspectives.",Low,High,0
56,"IF a person expresses joy about meeting acquaintances after a long time and looks forward to future positive experiences with them, THEN openness is likely High because it demonstrates a keenness for maintaining and enhancing social relationships and experiences.; IF a person shares in a post their excitement about reuniting with childhood friends and recommends others try similar experiences, THEN openness is likely High because it indicates a willingness to embrace new connections and opportunities.; IF a person reflects positively on changes in their friends over time while showing emotional engagement with life’s cycles, THEN openness is likely High because it signifies receptivity to growth and new perspectives.",High,High,1
57,"IF a person reflects positively on changes in their friends over time while showing emotional engagement with life’s cycles, THEN openness is likely High because it signifies receptivity to growth and new perspectives.; IF a person describes jumping into spontaneous activities or shows flexibility in their plans, THEN openness is likely High because it indicates an openness to spontaneity and new experiences.",Low,Moderate,0
58,"IF a person writes about a reunion with childhood friends but seems to reflect more on past memories than express excitement about new experiences, THEN openness is likely Low because it suggests a preference for familiar and routine interactions over exploring new possibilities.; IF a person expresses joy about meeting acquaintances after a long time and looks forward to future positive experiences with them, THEN openness is likely High because it demonstrates a keenness for maintaining and enhancing social relationships and experiences.",Low,Moderate,0
59,"IF a person writes about a reunion with childhood friends but seems to reflect more on past memories than express excitement about new experiences, THEN openness is likely Low because it suggests a preference for familiar and routine interactions over exploring new possibilities.; IF a person emphasizes staying within familiar social gatherings and does not suggest future plans that include diverse activities, THEN openness is likely Low because it indicates a reluctance to pursue novel experiences.; IF a person describes their enjoyment of familiar activities and reflects nostalgically on the past without indicating an interest in new experiences, THEN openness is likely Low because it highlights a tendency to remain within their comfort zone.",Low,Low,1
60,"IF a person writes about a reunion with childhood friends but seems to reflect more on past memories than express excitement about new experiences, THEN openness is likely Low because it suggests a preference for familiar and routine interactions over exploring new possibilities.; IF a person emphasizes staying within familiar social gatherings and does not suggest future plans that include diverse activities, THEN openness is likely Low because it indicates a reluctance to pursue novel experiences.",High,Low,0
