p,post1,post2,true_label,matched_rules,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero,rep,fold
25,"Was lucky enough to recently meet up and have an amazing time catching up with old friends from school who I hadn't seen in years, these are the people who made my childhood and shaped me into the person i am now so to see them all again and share memories was unbelievable, hopefully do it again soon","Happy birthday to my amazing partner, hope you have an fantastic day, thank you for everything you have done for me since the first moment I met you and putting up with me all the time, wishing you an amazing day and I've got a lot planned that will hopefully give you the day you deserve and to spoil you ",Moderate,"IF a person shows in a post a desire to meet new people and suggests frequent socializing, THEN extraversion is likely High because this implies an enjoyment of expanding social connections.; IF a person shows in a post a tendency to reminisce about past social experiences without eagerness for new ones, THEN extraversion is likely Low because this reflects a disengagement from new social opportunities.; IF a person shows in a post references to spending time with a limited number of friends and expresses minimal enthusiasm, THEN extraversion is likely Low because this indicates a preference for fewer social interactions.",hopefully do it again soon; catching up with old friends from school who I hadn't seen in years; catching up with old friends,High,Moderate,{'Sociability': 3},1,0,4,3
26,"Loved loved loved seeing these guys today…the original OG’s from way back when I still had a fringe, wore double denim and was reading Shout magazine. Wah life goes by so fast.
I’m so lucky to have these guys still in my life today, we need to make these meet ups a more regular thing!","Happy Birthday to our one and only, our jam in the sandwich… have the best day. Me and the boys will be on our best behaviour today so get some rest and do something you enjoy. We love you along with everyone else who knows you. Wishing you the best of health wealth and happiness.",High,"IF a person shows in a post a desire to meet new people and suggests frequent socializing, THEN extraversion is likely High because this implies an enjoyment of expanding social connections.; IF a person shows in a post a willingness to engage with others and initiate conversation, THEN extraversion is likely High because this reflects active social interaction.",we need to make these meet ups a more regular thing!; Me and the boys will be on our best behaviour today,High,High,{'Sociability': 2},1,1,4,3
42,Back together again after 35 years! Childhood friends from Newton in Warwickshire reliving our fond memories of all the adventures and special times we shared together. At this moment it doesn’t seem that 35 years have passed. Sadly a few people couldn’t make it today and they are missed. Looking forward already to our next get together.,Today’s your special birthday &lt;cough&gt; I hope that you enjoy all the things I have planned for you today. And the celebrations will continue long into the night with more birthday surprises. You deserve every single one of them! Thank you for all that you do and for being you! Let’s go and celebrate! Lots of love always xxxxxx,High,"IF a person shows in a post a desire to meet new people and suggests frequent socializing, THEN extraversion is likely High because this implies an enjoyment of expanding social connections.; IF a person shows in a post a willingness to engage with others and initiate conversation, THEN extraversion is likely High because this reflects active social interaction.",Looking forward already to our next get together.; Let’s go and celebrate!,High,Moderate,{'Sociability': 2},0,1,4,3
51,"Nothing like catching up with the people who knew you way back when life was all about playground games and ice cream. Tonight was full of laughter, nostalgia, and stories that makes sense ti us. So grateful for these lifelong friendships that pick up right where we left off, no matter how long it's been. Love childhood memories.","Happy birthday to my fav person in this whole world. I'm so lucky to walk through life with you side by side. You bring so much joy, laughter, and love into my life every day. Cheers to another year of adventures, growth, and amazing memories together. Love you more than words could explain. #Happy birthday ",High,"IF a person shows in a post a tendency to reminisce about past social experiences without eagerness for new ones, THEN extraversion is likely Low because this reflects a disengagement from new social opportunities.; IF a person shows in a post references to spending time with a limited number of friends and expresses minimal enthusiasm, THEN extraversion is likely Low because this indicates a preference for fewer social interactions.","Nothing like catching up with the people who knew you way back when life was all about playground games and ice cream. Tonight was full of laughter, nostalgia, and stories that makes sense to us.; So grateful for these lifelong friendships that pick up right where we left off, no matter how long it's been.",High,Low,{'Sociability': 2},0,1,4,3
52,it been a long time and it has been so long we see each other since childhood i moved house and left my day ones and now it is an opportunity to meet with them again we have gone through high school and tertiary institution and everybody is happy seeing each other yeah everyone is happy to meet each other and so everyone is with their family. what a joy to meet again,happy birthday to the best friends i ever had today is a special day for you and i am happy and felicitate you on your day. long life and prosperity. what a wonderful day for you as you have been a wonderful friend it is a pleasure to share this day with you. may your heart be filled with joy and your face with smile and your day with happiness and your mind with peace,Low,"IF a person shows in a post a desire to meet new people and suggests frequent socializing, THEN extraversion is likely High because this implies an enjoyment of expanding social connections.; IF a person shows in a post references to spending time with a limited number of friends and expresses minimal enthusiasm, THEN extraversion is likely Low because this indicates a preference for fewer social interactions.",it's an opportunity to meet with them again we have gone through high school and tertiary institution and everybody is happy seeing each other; I moved house and left my day ones,High,Moderate,{'Sociability': 2},0,0,4,3
54,"so after an exciting wait - we finally all met up , Parsons meads Class of 1987. It had been a while and now we all had a few more wrinkles and grey hairs. The room was full of laughter and hugs and kisses as we all remembered the school days. we had a laugh and caught up with all the news about our families and planned the next catch up.
","So my darling hubbie, the big day has come - the big 50. Half a century , wow who would have thought it. We have know each other for 33 years of that time, where has it gone. A few more grey hairs and wrinkles between us but we have 2 lovely kids and a great family. Happy Birthday!",High,"IF a person shows in a post a desire to meet new people and suggests frequent socializing, THEN extraversion is likely High because this implies an enjoyment of expanding social connections.; IF a person shows in a post a tendency to reminisce about past social experiences without eagerness for new ones, THEN extraversion is likely Low because this reflects a disengagement from new social opportunities.",we all remembered the school days. we had a laugh and caught up with all the news about our families and planned the next catch up.; the room was full of laughter and hugs and kisses as we all remembered the school days.,High,Moderate,{'Sociability': 2},0,1,4,3
55,"Highschool reunion! Had such a blast hanging out with these lovely people. Thank you Annie for organising and getting us all back together for such a fun and frivolous evening. Good food, excellent drinks and brilliant company. Would definitely recommend the venue we were hanging out in. And the theme was so much fun! I think we looked amazing in our fancy dress.","Congrats Jamie for surviving another year! It's definitely been a wild one between miving in, new job and adopting our first fur baby. I feel very lucky to be able to celebrate this birthday with you. Here we are enjoying dinner at the Sky Garden, picture taken by our lovely server for the evening. Can't wait to make more memories like this with you.",Moderate,"IF a person shows in a post a desire to meet new people and suggests frequent socializing, THEN extraversion is likely High because this implies an enjoyment of expanding social connections.; IF a person shows in a post a willingness to engage with others and initiate conversation, THEN extraversion is likely High because this reflects active social interaction.",Had such a blast hanging out with these lovely people.; I feel very lucky to be able to celebrate this birthday with you.,High,High,{'Sociability': 2},0,0,4,3
56,Finally back together again! Been far too long since we've seen each other but the three idiots are together and making mischief again at last. My cheeks and sides are already hurting from laughing too much. Time to set the world to rights and consume exhorbitant amounts of alcohol. Cheers!,"Happy birthday Big Ears! Just kidding, happy birthday to the loveliest man in the whole wide world! Another year older and just getting cuter (and somehow more silly) with age. Hope you have the best day with the best group of misfits and copious amounts of steak, cake an champagne! Lot's of prezzies waiting for you too!",Moderate,"IF a person shows in a post a desire to meet new people and suggests frequent socializing, THEN extraversion is likely High because this implies an enjoyment of expanding social connections.; IF a person shows in a post a willingness to engage with others and initiate conversation, THEN extraversion is likely High because this reflects active social interaction.",Finally back together again! Been far too long since we've seen each other but the three idiots are together and making mischief again at last.; My cheeks and sides are already hurting from laughing too much.,High,High,{'Sociability': 2},0,0,4,3
57,"Tonight I discovered that if you hang out with a bunch of people who you were friends with in school but haven't seen for approximately.... 30 mumble years...., you will spend a LOT of the time feeling just as awkward as you did when you were a teenager, a LOT of the time comparing your current need for reading glasses and/or perimenopausal symptoms, and a LOT of the time feeling as though you've blocked out half your memories. ","40 today! Happy birthday to S. At what point do you think people will stop saying ""but you look about 12""? ?? Have a great day and I'll see you later for the birthday surprise. Just one question - how do you feel about abseiling/parachute jumping/crocodile wrestling? Asking for a friend, obviously.... ",Low,"IF a person shows in a post a tendency to reminisce about past social experiences without eagerness for new ones, THEN extraversion is likely Low because this reflects a disengagement from new social opportunities.; IF a person shows in a post a willingness to engage with others and initiate conversation, THEN extraversion is likely High because this reflects active social interaction.","I discovered that if you hang out with a bunch of people who you were friends with in school but haven't seen for approximately.... 30 mumble years...., you will spend a LOT of the time feeling just as awkward as you did when you were a teenager.; how do you feel about abseiling/parachute jumping/crocodile wrestling? Asking for a friend, obviously....",Moderate,Moderate,{'Sociability': 2},0,0,4,3
59,"Had an amazing evening, sharing a few cheeky drinks  with some interesting people from a long time ago. It was great catching up with people from the past , sharing memories from our younger years, and sharing with everyone where life has taken us. Hopefully we won`t leave it so long before we catch up again   ","Happy 60th birthday Phil , now you can finally be the grumpy OLD man you`ve always like for the last 30 years ha ha . 
Enjoy your day , I`ll book the hearing test and eye test for next week . The zimmer frame should be delivered over the few days ha ha , until then , sit back, relax and watch your gardening programmes ( nothing new there ha ha ) xx",High,"IF a person shows in a post a tendency to reminisce about past social experiences without eagerness for new ones, THEN extraversion is likely Low because this reflects a disengagement from new social opportunities.; IF a person shows in a post a focus on solitary activities and does not emphasize social interactions, THEN extraversion is likely Low because this indicates a preference for low social engagement.; IF a person shows in a post references to spending time with a limited number of friends and expresses minimal enthusiasm, THEN extraversion is likely Low because this indicates a preference for fewer social interactions.","It was great catching up with people from the past, sharing memories from our younger years.; the zimmer frame should be delivered over the few days ha ha, until then, sit back, relax and watch your gardening programmes.; Had an amazing evening, sharing a few cheeky drinks with some interesting people from a long time ago.",High,Low,{'Sociability': 3},0,1,4,3
2,"Such a great night with this incredible bunch, but I'm feeling it this morning! Everyone needs those friends who know you so well, who'll see you through anything and everything. And no matter how old we get are still up for a good girls night out, even if it now takes us two days to recover! Night at Sixways is always the best, love this place, and Love you all ???? ","It's official, he's getting older! Happy birthday to my gorgeous husband, another year old and not any wiser! The kindest, funniest soul I will ever meet, and the most amazing dog Dad you could ever find. Looking forward to spoiling you rotten today - and maybe a few surprises this weekend! Happy birthday favourite human xoxo",High,"IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.; IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.","Such a great night with this incredible bunch, but I'm feeling it this morning!; Happy birthday to my gorgeous husband, another year old and not any wiser!",High,Moderate,{'Sociability': 2},0,1,4,3
3,"We spent the evening around my house, me and my 4 friends. We love spending time together and chilling out. Once they came here we spent the evening wining and dining. I must stay i think i out done myself with the cooking autumn soup with homemade bread for starters, steak and sides for main and sticky toffee pudding for dessert. Alongside we drank many bottes of wine and had many shots. Feeling it today haha!","Happy birthday, hope you have the best day ever XX I cherish all our memories together and enjoyed our 6 year relationship every day is a blessing spending it with you. Love you forever and always xx Your the most and gentle person ever and make me the happiest girl alive. The love you give me is the best",Moderate,"IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.; IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.",I cherish all our memories together and enjoyed our 6 year relationship.; We love spending time together and chilling out.,High,Moderate,{'Sociability': 2},1,0,4,3
6,today guys I have reunited with my childhood friends and I was so excited. it was an amazing experience which I totally recommend if you can do it as the feeling of meeting someone you used to play with when you talked to them is unforgettable. Also the fact that you used to be so close with them is shocking!,"Happy birthday dear. I am so happy to see you growing up bit by bit. I always see that amazing special smile once a year, unique from the others and that makes me overjoyed. I wish you the best of many days and years to come and I hope you find my gifts splendid aswell as everyone elses.",High,"IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.; IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.; IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.",today guys I have reunited with my childhood friends and I was so excited.; the feeling of meeting someone you used to play with when you talked to them is unforgettable.; I am so happy to see you growing up bit by bit.,High,High,{'Sociability': 3},1,1,4,3
8,"time flies by, I cant believe its been so long since we all met,  had so much fun seeing you all again and catching up. I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year. none of you have changed! ","Happpy Birthdayyyy. I hope your day is filled with all the things you love and your favorite people. This last year has been amazing and i cant wait to celebrate every birthday with you, even when we are old we'll still have each others company. Love you and cant wait to celebrate this day with you.",Moderate,"IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.; IF a person shows in a post less exuberant language and a tone that is subdued or dry, THEN extraversion is likely Low because a lack of enthusiasm suggests an introverted nature.; IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.","I remember when we used to go out on our bikes for hours now we all have our own house's. its crazy. we should make this an annual thing every year.; time flies by, I cant believe its been so long since we all met, had so much fun seeing you all again and catching up.; I hope your day is filled with all the things you love and your favorite people.",High,High,"{'Sociability': 2, 'Energy/Activity': 1}",0,0,4,3
14,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,High,"IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.; IF a person shows in a post reflective language focused on personal thoughts rather than social interactions, THEN extraversion is likely Low because introspective tendencies indicate a preference for solitude.; IF a person shows in a post less exuberant language and a tone that is subdued or dry, THEN extraversion is likely Low because a lack of enthusiasm suggests an introverted nature.",My loved ones are what keep me going. I'm so blessed to be able to call you guys my family.; Even when times are tough you always keep that spark. I love you so much.; I don't know where I'd be without you.,High,Low,"{'Sociability': 1, 'Warmth': 1, 'Energy/Activity': 1}",0,1,4,3
15,"Just got back from a reunion with some friends from back home! These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit. Hope to see you guys soon!! Keep it real @xComedyCheesex @Crazygamer05 @7evenup","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love, I hope that we can spend many more together! P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3",High,"IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.; IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love.; happy birthday my love, I hope that we can spend many more together!",High,Moderate,{'Sociability': 2},0,1,4,3
19,"So exciting to catch up with everyone! Being in our thirties means meeting up takes at least ten conversations about the event, at least one cancellation, minimum two babies and a stray husband. Glad this one made it out of the group chat. To next time; hopefully it doesn't take eight months ;)","Turning 30 has never looked better. Spending our twenties together was incredible; the highs, the lows, but most importantly being with you. So excited to spend the rest of my life with you. Happy birthday to the love of my life. You have changed my life in the most incredible way and you are so special to me. Cheers to my favourite person. I love you.",Moderate,"IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.; IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.",So exciting to catch up with everyone!; So excited to spend the rest of my life with you. Happy birthday to the love of my life.,High,Moderate,{'Sociability': 2},1,0,4,3
22,"It had been a long time coming, I met my childhood friends after nearly 10 years. We certainly had plenty of banter and catch up talk to go through. It is amazing how we have all gone down different routes yet have had similar childhood experiences. It was also interesting how our personality traits are still noticeable from all that time ago. ",Happy Birthday! Many happy returns and I hope you have a wonderful dream fulled day! Looking forward to going out to celebrate your Birthday. Hope you liked all your presents. I am sure it will be a day to remember with all the celebrations. Love you loads and wishing you all the best. ,Low,"IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.; IF a person shows in a post less exuberant language and a tone that is subdued or dry, THEN extraversion is likely Low because a lack of enthusiasm suggests an introverted nature.","It is amazing how we have all gone down different routes yet have had similar childhood experiences.; It had been a long time coming, I met my childhood friends after nearly 10 years.",High,Moderate,"{'Sociability': 1, 'Energy/Activity': 1}",0,0,4,3
27,"After all these years it's very interesting seeing how everyone I grew up with has changed, it's almost as if I was talking to two different versions of people from parallel universes, one a complete immature and incompetent buffon, the other a sophisticated and well mannered individual. It's crazy how time flies!","From cheerleader to married, I'm so appreciative of all the things you have done for me, and our family. Helping us financially or help cope with illness, I knew I made the right decision engaging with a nurse.I'm so glad that you came into my life and that we'll one day exit together. Happy 26th birthday my love!",Low,"IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.; IF a person shows in a post reflective language focused on personal thoughts rather than social interactions, THEN extraversion is likely Low because introspective tendencies indicate a preference for solitude.; IF a person shows in a post less exuberant language and a tone that is subdued or dry, THEN extraversion is likely Low because a lack of enthusiasm suggests an introverted nature.","I'm so appreciative of all the things you have done for me, and our family.; it's very interesting seeing how everyone I grew up with has changed, it's almost as if I was talking to two different versions of people from parallel universes.; It's crazy how time flies!",Moderate,Low,"{'Sociability': 1, 'Warmth': 1, 'Energy/Activity': 1}",1,0,4,3
29,"After all this time , the 5 of us still have our meet ups!  We just carry on chatting as though  we met yesterday and it's not just a yearly event. Great friends,  really lucky to be still in touch .
Luckily we're all in Good health... apart from a few old age creaks and cracks.
Already planned next year venue.","Well the next year is upon us! Yep you're having another birthday... watch out for an influx of children later , and be prepared for a lot of noise.
Just because you're a year older,  doesn't mean you can get a quiet life!
Glad you're my husband...
Happy birthday xxxx  and many more  to come xxxx",Moderate,"IF a person shows in a post a strong focus on maintaining deep connections with a partner rather than broader social interactions, THEN extraversion is likely Low because this indicates a preference for fewer but closer relationships.; IF a person shows in a post reflective language focused on personal thoughts rather than social interactions, THEN extraversion is likely Low because introspective tendencies indicate a preference for solitude.; IF a person shows in a post less exuberant language and a tone that is subdued or dry, THEN extraversion is likely Low because a lack of enthusiasm suggests an introverted nature.","Glad you're my husband... Happy birthday xxxx and many more to come xxxx; we just carry on chatting as though we met yesterday and it's not just a yearly event.; Great friends, really lucky to be still in touch.",High,Low,"{'Sociability': 1, 'Warmth': 1, 'Energy/Activity': 1}",0,0,4,3
30,"What a weekend we have just had catching up with my childhood friends. The sun made a special appearance for us and it felt like the gods were looking out for us!

We ate, drank, laughed and shopped our hearts out.

Thank you for this special time together and can’t wait to do this again ????????","Happy birthday to you, my wonderful husband. Can’t wait to shower you with your gifts and take you out and celebrate you. We will go to your favourite restaurant ??

Congratulations ?? on this your special birthday ?? ?? let’s have lots of funnnnn!!

Love you very much, see you later my darling xxxxx",Low,"IF a person shows in a post a willingness to engage with strangers or initiate social interactions, THEN extraversion is likely High because engaging actively with others reflects sociability.; IF a person shows in a post less exuberant language and a tone that is subdued or dry, THEN extraversion is likely Low because a lack of enthusiasm suggests an introverted nature.",What a weekend we have just had catching up with my childhood friends. The sun made a special appearance for us and it felt like the gods were looking out for us!; Can’t wait to shower you with your gifts and take you out and celebrate you.,High,High,"{'Sociability': 1, 'Energy/Activity': 1}",0,0,4,3
