,p,matched_rules,true_label,pred_label
10,11,"['IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.', 'IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",Moderate,High
11,12,"['IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.', 'IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",Low,High
12,13,"['IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.', 'IF a person shows in a post detail and vivid description of current experiences with enthusiasm, THEN openness is likely High because this reflects engagement with the present and exploring new activities.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",Moderate,High
13,14,"['IF a person shows in a post a focus on routine and familiarity in their language, THEN openness is likely Low because this reflects a preference for the predictable over the novel.', 'IF a person shows in a post limited expression of engagement with new activities and focuses on routine, THEN openness is likely Low because this implies a resistance to exploring new experiences.']",High,Low
14,15,"['IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.', 'IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",High,High
15,16,"['IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.', 'IF a person shows in a post detail and vivid description of current experiences with enthusiasm, THEN openness is likely High because this reflects engagement with the present and exploring new activities.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",Moderate,High
16,17,"['IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.', 'IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",High,High
17,18,"['IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.', 'IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",Moderate,High
18,19,"['IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.', 'IF a person shows in a post positive energy and enjoyment in their interactions with friends, THEN openness is likely High because this suggests enthusiasm for social activities and shared experiences.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",High,High
19,20,"['IF a person shows in a post excitement about meeting friends after a long time, THEN openness is likely High because this reflects a willingness to engage with past relationships and experiences.', 'IF a person shows in a post a fondness for making new memories and cherishing the present with loved ones, THEN openness is likely High because this indicates a desire for new experiences.']",High,High
