,p,matched_rules,true_label,pred_label
10,11,"['IF a person emphasizes the importance of past friendships and does not reference any new experiences or connections, THEN openness is likely Low because this highlights a preference for what is known rather than what is new.', 'IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.']",Moderate,Moderate
11,12,"['IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.', 'IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.', 'IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.']",Low,Moderate
12,13,"['IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.', 'IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.', 'IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.', 'IF a person discusses seemingly spontaneous and fun experiences with friends, THEN openness is likely High because this conveys adaptability and a willingness to embrace new opportunities.']",Moderate,High
13,14,"['IF a person emphasizes the importance of past friendships and does not reference any new experiences or connections, THEN openness is likely Low because this highlights a preference for what is known rather than what is new.', 'IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.']",High,Low
14,15,"['IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.', 'IF a person shares details about trying new activities or experiences in a post, THEN openness is likely High because this demonstrates a willingness to explore and engage with the world.', 'IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.', 'IF a person discusses seemingly spontaneous and fun experiences with friends, THEN openness is likely High because this conveys adaptability and a willingness to embrace new opportunities.']",High,High
15,16,"['IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.', 'IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.', 'IF a person discusses seemingly spontaneous and fun experiences with friends, THEN openness is likely High because this conveys adaptability and a willingness to embrace new opportunities.']",Moderate,High
16,17,"['IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.', 'IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.', 'IF a person shares playful and spontaneous language about social events, THEN openness is likely High because this indicates an adventurous spirit and readiness to embrace new experiences.']",High,High
17,18,"['IF a person uses enthusiastic and vivid language to describe social interactions in a post, THEN openness is likely High because this indicates a strong engagement with new experiences.', 'IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.', 'IF a person shares playful and spontaneous language about social events, THEN openness is likely High because this indicates an adventurous spirit and readiness to embrace new experiences.', 'IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.']",Moderate,High
18,19,"['IF a person expresses excitement about planning and participating in social activities, THEN openness is likely High because this shows a willingness to engage in new experiences.', 'IF a person shows gratitude and appreciation for current partners while expressing excitement about shared experiences, THEN openness is likely High because this reflects an openness to the dynamics of present relationships.', 'IF a person shares playful and spontaneous language about social events, THEN openness is likely High because this indicates an adventurous spirit and readiness to embrace new experiences.']",High,High
19,20,"['IF a person reflects nostalgically on past relationships and experiences without indicating a desire for new ones, THEN openness is likely Low because this suggests a preference for familiar and routine interactions.', 'IF a person emphasizes the importance of past friendships and does not reference any new experiences or connections, THEN openness is likely Low because this highlights a preference for what is known rather than what is new.']",High,Low
