p,trait,true level,post 1,post 2,pred rules,experts-rules score,matched rules,matched behaviors,pred with few-shot,few-shot score,pred with zero-shot,zero-shot score
14,openness,High,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,Low,0,"IF a person emphasizes feelings regarding long-standing relationships over engaging with new people, THEN openness is likely Low because this suggests a preference for established connections rather than seeking new experiences.",I don't know where I would be without them. I'm so blessed to be able to call you guys my family.,Moderate,0,Moderate,0
14,openness,High,"Times Like This??Life can be complicated, but my people make it all worth it. My loved ones are what keep me going. Whether we go for drinks, go out to eat, or are just kicked back smoking and talking. I don't know where I would be without them. I'm so blessed to be able to call you guys my family. All glory to God.",HAPPY BIRTHDAY BABYGIRL????I am so proud of you for making it another year. Even when times are tough you always keep that spark. I love you so much. You really show me what real love is. I don't know where I'd be without you. Another year and forever to go for us baby. I love you so much and I'm so blessed to have you.,Low,0,"IF a person views interactions through a lens of gratitude for memories without expressing anticipation for future experiences, THEN openness is likely Low because this reflects a focus on the past rather than an openness to new experiences.",I am so proud of you for making it another year... I love you so much and I'm so blessed to have you.,Moderate,0,Moderate,0
15,openness,High,"Just got back from a reunion with some friends from back home! These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit. Hope to see you guys soon!! Keep it real @xComedyCheesex @Crazygamer05 @7evenup","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love, I hope that we can spend many more together! P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3",High,1,"IF a person shares in a post that they had an amazing time reconnecting with friends and look forward to future gatherings, THEN openness is likely High because this reflects a desire for new experiences and connections.",Just got back from a reunion with some friends from back home! ... Hope to see you guys soon!!,Moderate,0,High,1
15,openness,High,"Just got back from a reunion with some friends from back home! These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit. Hope to see you guys soon!! Keep it real @xComedyCheesex @Crazygamer05 @7evenup","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love, I hope that we can spend many more together! P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3",High,1,"IF a person shares excitement about upcoming plans or events with friends, THEN openness is likely High because this indicates an eagerness to explore new experiences.",Hope to see you guys soon!!,Moderate,0,High,1
15,openness,High,"Just got back from a reunion with some friends from back home! These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit. Hope to see you guys soon!! Keep it real @xComedyCheesex @Crazygamer05 @7evenup","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love, I hope that we can spend many more together! P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3",High,1,"IF a person details enjoyable gatherings with friends and expresses gratitude for shared experiences, THEN openness is likely High because this indicates an appreciation for social interactions and new connections.",These guys always had my back... Hope to see you guys soon!!,Moderate,0,High,1
15,openness,High,"Just got back from a reunion with some friends from back home! These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf :0 Then again, the drinks probably messed my aim up a litttle bit. Hope to see you guys soon!! Keep it real @xComedyCheesex @Crazygamer05 @7evenup","To this beautiful girl who was a stranger up until 10 months ago, happy birthday my love, I hope that we can spend many more together! P.S. Don't tell anyone I forgot the cake and had to ask you to bake us another one to save myself from the embarassment. Love you lots! Have the best birthday ever &lt;3",High,1,"IF a person expresses feelings of nostalgia about past friendships but fails to mention new experiences or plans, THEN openness is likely Low because this indicates a preference for familiarity over new interactions.","These guys always had my back, except when it comes to telling me I'm any good at bowling or mini golf.",Moderate,0,High,1
16,openness,Moderate,"went to a great birthday party today at the drummond park animal experience
centre with ash, jen, jodie jake, alex and all the rest of the crew.  loved watching the
monkeys antics.  the lion cubs were so cute.  alex ate too much cake and looked alittle
green jake punched him in the stomach to sicee if he could make him sick ..","wow!  another landmark birthday.  we are all so looking forward to your birthday
bash at Fisher's restaurant.  can't believe you've come this far despite all the
hoops you've had to jump through in the past few years,  what an achievement
well done you.  I know you said no presents but well suspect there may still be one or two surprises",High,0,"IF a person shares in a post that they had an amazing time reconnecting with friends and look forward to future gatherings, THEN openness is likely High because this reflects a desire for new experiences and connections.","went to a great birthday party today at the drummond park animal experience centre with ash, jen, jodie jake, alex and all the rest of the crew.",Moderate,1,Moderate,1
16,openness,Moderate,"went to a great birthday party today at the drummond park animal experience
centre with ash, jen, jodie jake, alex and all the rest of the crew.  loved watching the
monkeys antics.  the lion cubs were so cute.  alex ate too much cake and looked alittle
green jake punched him in the stomach to sicee if he could make him sick ..","wow!  another landmark birthday.  we are all so looking forward to your birthday
bash at Fisher's restaurant.  can't believe you've come this far despite all the
hoops you've had to jump through in the past few years,  what an achievement
well done you.  I know you said no presents but well suspect there may still be one or two surprises",High,0,"IF a person shares excitement about upcoming plans or events with friends, THEN openness is likely High because this indicates an eagerness to explore new experiences.",we are all so looking forward to your birthday bash at Fisher's restaurant.,Moderate,1,Moderate,1
16,openness,Moderate,"went to a great birthday party today at the drummond park animal experience
centre with ash, jen, jodie jake, alex and all the rest of the crew.  loved watching the
monkeys antics.  the lion cubs were so cute.  alex ate too much cake and looked alittle
green jake punched him in the stomach to sicee if he could make him sick ..","wow!  another landmark birthday.  we are all so looking forward to your birthday
bash at Fisher's restaurant.  can't believe you've come this far despite all the
hoops you've had to jump through in the past few years,  what an achievement
well done you.  I know you said no presents but well suspect there may still be one or two surprises",High,0,"IF a person describes enjoying lively and vibrant social events with diverse activities, THEN openness is likely High because this shows a propensity for embracing new experiences.",loved watching the monkeys antics. the lion cubs were so cute.,Moderate,1,Moderate,1
17,openness,High,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,1,"IF a person shares in a post that they had an amazing time reconnecting with friends and look forward to future gatherings, THEN openness is likely High because this reflects a desire for new experiences and connections.","What a wild time we've had, you would think that we were in 2004 living our best life",Moderate,0,High,1
17,openness,High,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,1,"IF a person describes a spontaneous decision to participate in activities with friends, THEN openness is likely High because this shows willingness to embrace new experiences.",Finally! The stars aligned and we were able to go out together!,Moderate,0,High,1
17,openness,High,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,1,"IF a person shares excitement about upcoming plans or events with friends, THEN openness is likely High because this indicates an eagerness to explore new experiences.",I hope you will enjoy the celebrations we planned for you today,Moderate,0,High,1
17,openness,High,"Finally! The stars aligned and we were able to go out together! What a wild time we've had, you would think that we were in 2004 living our best life at XXX university! The venue was just perfect, and by the look of the videos, despite turning 40 we can still bust a move like when we were 20! ","My darling partner, wishing you the best birthday ever (yet!). Just like fine wine you've aged amazingly well, the salt and pepper look really becomes you! I hope you will enjoy the celebrations we planned for you today, fear not we'll keep it low key and definitely not party like we did for your thirtieth!",High,1,"IF a person describes enjoying lively and vibrant social events with diverse activities, THEN openness is likely High because this shows a propensity for embracing new experiences.",the venue was just perfect,Moderate,0,High,1
21,openness,Low,"Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals. Food, drinks, music, games and great chat! Venue was great too with great service, would highly recommend. Thanks to all for coming. Should make this a regular thing, so heres to the next one!","A very happy birthday to my incredible wife! you are the most loving, strong and inspirational person that i know, and i am privileged to have you in my life. Congratulations on all that you have achieved and your recent success, long may it continue. thanks for many memories and look forward to creating many more with you.",High,0,"IF a person shares in a post that they had an amazing time reconnecting with friends and look forward to future gatherings, THEN openness is likely High because this reflects a desire for new experiences and connections.",Good times with old friends! Great catch up and...heres to the next one!,High,0,High,0
21,openness,Low,"Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals. Food, drinks, music, games and great chat! Venue was great too with great service, would highly recommend. Thanks to all for coming. Should make this a regular thing, so heres to the next one!","A very happy birthday to my incredible wife! you are the most loving, strong and inspirational person that i know, and i am privileged to have you in my life. Congratulations on all that you have achieved and your recent success, long may it continue. thanks for many memories and look forward to creating many more with you.",High,0,"IF a person shares excitement about upcoming plans or events with friends, THEN openness is likely High because this indicates an eagerness to explore new experiences.","Should make this a regular thing, so heres to the next one!",High,0,High,0
21,openness,Low,"Good times with old friends! Great catch up and a nostalgic trip down memory lane with childhood pals. Food, drinks, music, games and great chat! Venue was great too with great service, would highly recommend. Thanks to all for coming. Should make this a regular thing, so heres to the next one!","A very happy birthday to my incredible wife! you are the most loving, strong and inspirational person that i know, and i am privileged to have you in my life. Congratulations on all that you have achieved and your recent success, long may it continue. thanks for many memories and look forward to creating many more with you.",High,0,"IF a person expresses feelings regarding long-standing relationships over engaging with new people, THEN openness is likely Low because this suggests a preference for established connections rather than seeking new experiences.",thanks for many memories and look forward to creating many more with you.,High,0,High,0
23,openness,Moderate,An unforgettable day with childhood friends! A magical day reminicising together and catching up after so long. Doesn’t matter how long it’s been we all slot back together like no time has passed at all. Watching our kids play together and seeing the cycles of life begin all over again is so emotional. Love you all xx #westhillgang #pyegreenmassive #childhood #friends,"Happy Birthday to my best friend, the best husband and dad in the world! I’ve celebrated 13 of your birthdays with you and every day in between and for all the chats and hugs, the love, the tough times, it is never ever enough. I look forward to seeing you every morning, I can’t wait to see you after work every day. The love of my life, I am so in love with you. Happy Birthday, my love xxx",Low,0,"IF a person expresses feelings of nostalgia about past friendships but fails to mention new experiences or plans, THEN openness is likely Low because this indicates a preference for familiarity over new interactions.",An unforgettable day with childhood friends... reminicising together and catching up after so long.,High,0,High,0
23,openness,Moderate,An unforgettable day with childhood friends! A magical day reminicising together and catching up after so long. Doesn’t matter how long it’s been we all slot back together like no time has passed at all. Watching our kids play together and seeing the cycles of life begin all over again is so emotional. Love you all xx #westhillgang #pyegreenmassive #childhood #friends,"Happy Birthday to my best friend, the best husband and dad in the world! I’ve celebrated 13 of your birthdays with you and every day in between and for all the chats and hugs, the love, the tough times, it is never ever enough. I look forward to seeing you every morning, I can’t wait to see you after work every day. The love of my life, I am so in love with you. Happy Birthday, my love xxx",Low,0,"IF a person emphasizes feelings regarding long-standing relationships over engaging with new people, THEN openness is likely Low because this suggests a preference for established connections rather than seeking new experiences.",I’ve celebrated 13 of your birthdays with you and every day in between... I can’t wait to see you after work every day.,High,0,High,0
28,openness,Low,My oldest and dearest friends gathered at the weekend to celebrate 30 years since leaving school. Much laughing and getting over how much we had all aged. Looking back at our old school photos was hilarious. Some of us didn't even recognise ourselves. We had such a good time that we decided to make this an annual event ,The most important person in my life achieves a milestone birthday today. Congratulations on your 50th and may we share many more happy years together. Unfortunately it's all downhill from here. Buckle up for the coming mid life crisis and keep smiling. These can be the best years of life with the right attitude. Get writing that bucket list and let's see the world ticking them off.,High,0,"IF a person shares in a post that they had an amazing time reconnecting with friends and look forward to future gatherings, THEN openness is likely High because this reflects a desire for new experiences and connections.",We had such a good time that we decided to make this an annual event.,Moderate,0,High,0
28,openness,Low,My oldest and dearest friends gathered at the weekend to celebrate 30 years since leaving school. Much laughing and getting over how much we had all aged. Looking back at our old school photos was hilarious. Some of us didn't even recognise ourselves. We had such a good time that we decided to make this an annual event ,The most important person in my life achieves a milestone birthday today. Congratulations on your 50th and may we share many more happy years together. Unfortunately it's all downhill from here. Buckle up for the coming mid life crisis and keep smiling. These can be the best years of life with the right attitude. Get writing that bucket list and let's see the world ticking them off.,High,0,"IF a person talks mostly about known routines and does not express interests in new activities, THEN openness is likely Low because this suggests a comfort with the status quo over exploring new avenues.",get writing that bucket list and let's see the world ticking them off.,Moderate,0,High,0
34,openness,Low,"just been to a reunion with my childhood friends and it was a great night and i would like to thank them all for great night.
 it brought back some good memorys and good times. at least this time we got drunk legally and didn't have to run off when we got caught.
i think we  should all do it again in the very near future. ","i would like to wish my better half a very happy birthday and i hope you have a very good day. you are the best thing that ever happened to me and i would be lost with out you.
 i've got a few special things planned for us to do for your birthday and i hope you will enjoy yourself.
",High,0,"IF a person shares in a post that they had an amazing time reconnecting with friends and look forward to future gatherings, THEN openness is likely High because this reflects a desire for new experiences and connections.",i think we should all do it again in the very near future.,Moderate,0,Moderate,0
34,openness,Low,"just been to a reunion with my childhood friends and it was a great night and i would like to thank them all for great night.
 it brought back some good memorys and good times. at least this time we got drunk legally and didn't have to run off when we got caught.
i think we  should all do it again in the very near future. ","i would like to wish my better half a very happy birthday and i hope you have a very good day. you are the best thing that ever happened to me and i would be lost with out you.
 i've got a few special things planned for us to do for your birthday and i hope you will enjoy yourself.
",High,0,"IF a person shares excitement about upcoming plans or events with friends, THEN openness is likely High because this indicates an eagerness to explore new experiences.",i've got a few special things planned for us to do for your birthday and i hope you will enjoy yourself.,Moderate,0,Moderate,0
38,openness,High,"chlilling with my longest know friends. I can't believe we've known each other for as long as we have. I treasure this and I hope I can continue my life with you guys until the very end. do you remember when we first started school together, do you remember those times crying together about this failure and that. do you remember the times that we got to celebrate this achievement and that quality? ","Happy birhday my love. Here's to many more to come. You've grown so much this year and I'm so glad that we're celebrating our tenth year together. Hope you love your gifts and surprises. And thank you to everyone who wishes us the best. happy birthday to you, happy birthday to your mother and farther who birthed such a wonderful being",Low,0,"IF a person expresses feelings of nostalgia about past friendships but fails to mention new experiences or plans, THEN openness is likely Low because this indicates a preference for familiarity over new interactions.",I can't believe we've known each other for as long as we have. I treasure this and I hope I can continue my life with you guys until the very end.,Moderate,0,Moderate,0
38,openness,High,"chlilling with my longest know friends. I can't believe we've known each other for as long as we have. I treasure this and I hope I can continue my life with you guys until the very end. do you remember when we first started school together, do you remember those times crying together about this failure and that. do you remember the times that we got to celebrate this achievement and that quality? ","Happy birhday my love. Here's to many more to come. You've grown so much this year and I'm so glad that we're celebrating our tenth year together. Hope you love your gifts and surprises. And thank you to everyone who wishes us the best. happy birthday to you, happy birthday to your mother and farther who birthed such a wonderful being",Low,0,"IF a person reflects primarily on past memories without mentions of experiences or plans for the future, THEN openness is likely Low because this suggests a focus on traditional routines rather than new opportunities.","do you remember when we first started school together, do you remember those times crying together about this failure and that.",Moderate,0,Moderate,0
38,openness,High,"chlilling with my longest know friends. I can't believe we've known each other for as long as we have. I treasure this and I hope I can continue my life with you guys until the very end. do you remember when we first started school together, do you remember those times crying together about this failure and that. do you remember the times that we got to celebrate this achievement and that quality? ","Happy birhday my love. Here's to many more to come. You've grown so much this year and I'm so glad that we're celebrating our tenth year together. Hope you love your gifts and surprises. And thank you to everyone who wishes us the best. happy birthday to you, happy birthday to your mother and farther who birthed such a wonderful being",Low,0,"IF a person emphasizes feelings regarding long-standing relationships over engaging with new people, THEN openness is likely Low because this suggests a preference for established connections rather than seeking new experiences.",I'm so glad that we're celebrating our tenth year together.,Moderate,0,Moderate,0
39,openness,Moderate,"Had an amazing night catching up with my childhood friends! It’s been way too long since we all got together. We reminisced about our wild adventures and laughed until our sides hurt. It’s crazy how some things never change, like our inside jokes and silly stories. Grateful for these friendships that stand the test of time! Can’t wait for the next reunion!","
Happy birthday to the love of my life! You bring so much joy and laughter into my world, and I’m endlessly grateful for every moment we share. Your kindness, strength, and passion inspire me every day. Here’s to celebrating you today and all the amazing adventures ahead! Can’t wait to spoil you and make this day unforgettable. Love you to the moon and back!",High,0,"IF a person shares in a post that they had an amazing time reconnecting with friends and look forward to future gatherings, THEN openness is likely High because this reflects a desire for new experiences and connections.",Had an amazing night catching up with my childhood friends! ... Can’t wait for the next reunion!,High,0,High,0
39,openness,Moderate,"Had an amazing night catching up with my childhood friends! It’s been way too long since we all got together. We reminisced about our wild adventures and laughed until our sides hurt. It’s crazy how some things never change, like our inside jokes and silly stories. Grateful for these friendships that stand the test of time! Can’t wait for the next reunion!","
Happy birthday to the love of my life! You bring so much joy and laughter into my world, and I’m endlessly grateful for every moment we share. Your kindness, strength, and passion inspire me every day. Here’s to celebrating you today and all the amazing adventures ahead! Can’t wait to spoil you and make this day unforgettable. Love you to the moon and back!",High,0,"IF a person shares excitement about upcoming plans or events with friends, THEN openness is likely High because this indicates an eagerness to explore new experiences.",Can’t wait for the next reunion!,High,0,High,0
39,openness,Moderate,"Had an amazing night catching up with my childhood friends! It’s been way too long since we all got together. We reminisced about our wild adventures and laughed until our sides hurt. It’s crazy how some things never change, like our inside jokes and silly stories. Grateful for these friendships that stand the test of time! Can’t wait for the next reunion!","
Happy birthday to the love of my life! You bring so much joy and laughter into my world, and I’m endlessly grateful for every moment we share. Your kindness, strength, and passion inspire me every day. Here’s to celebrating you today and all the amazing adventures ahead! Can’t wait to spoil you and make this day unforgettable. Love you to the moon and back!",High,0,"IF a person describes enjoying lively and vibrant social events with diverse activities, THEN openness is likely High because this shows a propensity for embracing new experiences.",We reminisced about our wild adventures and laughed until our sides hurt.,High,0,High,0
39,openness,Moderate,"Had an amazing night catching up with my childhood friends! It’s been way too long since we all got together. We reminisced about our wild adventures and laughed until our sides hurt. It’s crazy how some things never change, like our inside jokes and silly stories. Grateful for these friendships that stand the test of time! Can’t wait for the next reunion!","
Happy birthday to the love of my life! You bring so much joy and laughter into my world, and I’m endlessly grateful for every moment we share. Your kindness, strength, and passion inspire me every day. Here’s to celebrating you today and all the amazing adventures ahead! Can’t wait to spoil you and make this day unforgettable. Love you to the moon and back!",High,0,"IF a person expresses gratitude for shared experiences, THEN openness is likely High because this indicates an appreciation for social interactions and new connections.",Grateful for these friendships that stand the test of time!,High,0,High,0
39,openness,Moderate,"Had an amazing night catching up with my childhood friends! It’s been way too long since we all got together. We reminisced about our wild adventures and laughed until our sides hurt. It’s crazy how some things never change, like our inside jokes and silly stories. Grateful for these friendships that stand the test of time! Can’t wait for the next reunion!","
Happy birthday to the love of my life! You bring so much joy and laughter into my world, and I’m endlessly grateful for every moment we share. Your kindness, strength, and passion inspire me every day. Here’s to celebrating you today and all the amazing adventures ahead! Can’t wait to spoil you and make this day unforgettable. Love you to the moon and back!",High,0,"IF a person expresses excitement about future amazing adventures, THEN openness is likely High because this indicates a willingness to embrace new experiences.",Here’s to celebrating you today and all the amazing adventures ahead!,High,0,High,0
40,openness,Low,had fun today! got to see my friends that i've grown up with. im grateful to go through life with them and to see them grow as people. every accomplishment i will be there for becauase i know they will be there for me. i am truly grateful to have such a strong group of people around me and to uplift me.,"happy birthday my love. i am so proud of you. you are my best friend, my ace, my rock. i love you more than every. you keep me on my feet and you never let my crown tip. even trhrough all the trials and tribulations. i am lucky to have someone like you in my corner. you never fail to make me happt",Low,1,"IF a person expresses feelings of nostalgia about past friendships but fails to mention new experiences or plans, THEN openness is likely Low because this indicates a preference for familiarity over new interactions.",grateful to go through life with friends that I've grown up with,High,0,High,0
40,openness,Low,had fun today! got to see my friends that i've grown up with. im grateful to go through life with them and to see them grow as people. every accomplishment i will be there for becauase i know they will be there for me. i am truly grateful to have such a strong group of people around me and to uplift me.,"happy birthday my love. i am so proud of you. you are my best friend, my ace, my rock. i love you more than every. you keep me on my feet and you never let my crown tip. even trhrough all the trials and tribulations. i am lucky to have someone like you in my corner. you never fail to make me happt",Low,1,"IF a person emphasizes feelings regarding long-standing relationships over engaging with new people, THEN openness is likely Low because this suggests a preference for established connections rather than seeking new experiences.",i am lucky to have someone like you in my corner,High,0,High,0
