p,post1,post2,true_label_x,matched_rules,matched_rules1,matched_rules2,matched_rules3,matched_rules4,matched_behaviours,pred_zero_shot,pred_rule_based,category_counts,score_rules,score_zero,rep,true_label_y,few_shot_pred,few_shot_score,zero_shot_pred,zero_shot_score
24,"Had the best time ca tching up with my chilidhood friends last night! It's amazing how, despite t he years, we fall riight back into those silly jokes and shared memories. From playing games in the backyard to reminis cing about our wild adventures, it was a great reminder of the b onds that shaped us","Happy Birtihday to the love of my life! i'm so grateful for every moment we share together. You bring so mucih joy and laughter into my world. I can't wait to celebrate you today and make more amazinng memories! Here's to another year of love, adventure, and all your dreams coming true. You deserve the best!",High,"IF a person expresses joy and gratitude about social interactions and relationships, THEN extraversion is likely High because it reflects a strong appreciation for connections with others."," IF a person expresses enthusiasm for sharing experiences and celebrates others, THEN extraversion is likely High because it shows a desire for interaction and social bonding.",,,,"Had the best time catching up with my childhood friends last night! It’s amazing how, despite the years, we fall right back into those silly jokes and shared memories.; Happy Birthday to the love of my life! I’m so grateful for every moment we share together. You bring so much joy and laughter into my world.",High,High,{'Uncategorized': 2},1,1,1,High,High,1,High,1
28,My oldest and dearest friends gathered at the weekend to celebrate 30 years since leaving school. Much laughing and getting over how much we had all aged. Looking back at our old school photos was hilarious. Some of us didn't even recognise ourselves. We had such a good time that we decided to make this an annual event ,The most important person in my life achieves a milestone birthday today. Congratulations on your 50th and may we share many more happy years together. Unfortunately it's all downhill from here. Buckle up for the coming mid life crisis and keep smiling. These can be the best years of life with the right attitude. Get writing that bucket list and let's see the world ticking them off.,Low,"IF a person expresses happiness about spending time with friends and cherishes long-term friendships, THEN extraversion is likely High because this demonstrates a strong appreciation for social interactions."," IF a person shares joy about future gatherings and events, THEN extraversion is likely High because this shows a desire for ongoing social connections."," IF a person talks positively about celebrating significant life events and encourages shared experiences, THEN extraversion is likely High because this reflects an enthusiasm for social engagement.",,,My oldest and dearest friends gathered at the weekend to celebrate 30 years since leaving school.; We had such a good time that we decided to make this an annual event.; Congratulations on your 50th and may we share many more happy years together.,High,High,{'Uncategorized': 3},0,0,1,Low,Moderate,0,High,0
36,"I had the best time today, joining together with the girls I grew up with! We shared memories, laughed at our ridiculous behaviour (and outfits, though the less said about that, the better!). It was utterly joyful, and a real throwback to a much simpler time. Like therapy for the soul. I'm very excited to do it again very soon.","I've never made a secret of how proud I am of my husband. I'm his biggest cheerleader and No.1 fan! As he approaches his 40th birthday, I want to thank him for our last 20 years together and congratulate him on every single achievement in his life! His children, his dedication to helping others and his commitment to being the best person he can be. So proud of you, darling! Love you lots xx",High,"IF a person expresses joy and excitement about social interactions, THEN extraversion is likely High because it indicates a strong enjoyment of being around others."," IF a person demonstrates a strong emotional support and enthusiasm for loved ones, THEN extraversion is likely High because this reflects affectionate connections with others.",,,,"I had the best time today, joining together with the girls I grew up with!; I've never made a secret of how proud I am of my husband. I'm his biggest cheerleader and No.1 fan!",High,High,{'Uncategorized': 2},1,1,1,High,High,1,High,1
38,"chlilling with my longest know friends. I can't believe we've known each other for as long as we have. I treasure this and I hope I can continue my life with you guys until the very end. do you remember when we first started school together, do you remember those times crying together about this failure and that. do you remember the times that we got to celebrate this achievement and that quality? ","Happy birhday my love. Here's to many more to come. You've grown so much this year and I'm so glad that we're celebrating our tenth year together. Hope you love your gifts and surprises. And thank you to everyone who wishes us the best. happy birthday to you, happy birthday to your mother and farther who birthed such a wonderful being",Low,"IF a person expresses deep emotional connections with friends over a long period, THEN extraversion is likely High because this reflects strong social ties and appreciation for relationships."," IF a person celebrates significant milestones in their relationships, THEN extraversion is likely High because this shows they value social interactions and shared experiences."," IF a person thanks others for their good wishes and celebrates someone else's success, THEN extraversion is likely High as it indicates social engagement and connection.",,,I treasure this and I hope I can continue my life with you guys until the very end.; Happy birthday my love. Here's to many more to come.; And thank you to everyone who wishes us the best.,Moderate,High,{'Uncategorized': 3},0,0,1,Low,Moderate,0,Moderate,0
45,"I visited some of my childhood friends that I haven't seen in many years. We reminisced about all of the good times we experienced together and had a fun time for many hours down at the local bar. I talked with many friends who I had even forgot existed, but we sat down at remembered many moments we shared together.",Happy birthday to my significant other. They are such an amazing person and I am glad to have spent the last few years of my life with them. I am already looking forward to spending the future and hopefully the rest of my life with them. We have already spent so many good moments together.,Moderate,"IF a person shares memories and good times spent with friends, THEN extraversion is likely High because it reflects social engagement and enjoyment of relationships."," IF a person expresses gratitude and appreciation for relationships with significance highlighted, THEN extraversion is likely High because it indicates a positive social orientation.",,,,I visited some of my childhood friends that I haven't seen in many years. We reminisced about all of the good times we experienced together and had a fun time for many hours down at the local bar.; Happy birthday to my significant other. They are such an amazing person and I am glad to have spent the last few years of my life with them.,Moderate,High,{'Uncategorized': 2},0,0,1,Moderate,Moderate,1,High,0
49,"Saw one of my very good friends today! It was quite nostalgic; all those laughter and stories we never get to tell anyone else. He began kidding around and it was like, no time had elapsed and we were back in our childhood or teenage years telling stories of the places we used to hang around. One thing I've always grown to appreciate is the ability of friends to know you when you were still young and still support you to date. Thank you to people like this and for creating so many more wonderful memories! Cheers to the uncovered moments.  #Tbt #blessedfriends ","It is another great day for the love of my life, Happy Birthday to you! Today i celebrate you. You always bring so much joy and happiness in to my life, not to mention the patient and constant support. Thanks for every day, all the fun we have, the trips we take, the moments that matters to each of us. Happy anniversary to us yet again, Cheers to many more impressive years together by our side. Happy birthday to you and lots of happiness that you will be showered with today! #BirthdayWishes #BirthdayBoy ",Moderate,"IF a person expresses joy and enthusiasm when talking about friends or loved ones, THEN extraversion is likely High because it reflects a strong appreciation for social connections."," IF a person shares positive experiences and expresses gratitude towards friends and partners, THEN extraversion is likely High because it shows an appreciation for social bonds.",,,,"It was quite nostalgic; all those laughter and stories we never get to tell anyone else.; Thanks for every day, all the fun we have, the trips we take, the moments that matters to each of us.",High,High,{'Uncategorized': 2},0,0,1,Moderate,Moderate,1,High,0
52,it been a long time and it has been so long we see each other since childhood i moved house and left my day ones and now it is an opportunity to meet with them again we have gone through high school and tertiary institution and everybody is happy seeing each other yeah everyone is happy to meet each other and so everyone is with their family. what a joy to meet again,happy birthday to the best friends i ever had today is a special day for you and i am happy and felicitate you on your day. long life and prosperity. what a wonderful day for you as you have been a wonderful friend it is a pleasure to share this day with you. may your heart be filled with joy and your face with smile and your day with happiness and your mind with peace,Low,"IF a person expresses joy at reuniting with friends or family, THEN extraversion is likely High because it reflects a strong appreciation for social interactions."," IF a person celebrates their friends' achievements or special occasions with enthusiasm, THEN extraversion is likely High because this indicates a desire to connect and share positive experiences.",,,,what a joy to meet again; happy birthday to the best friends i ever had today is a special day for you and i am happy and felicitate you on your day.,High,High,{'Uncategorized': 2},0,0,1,Low,Moderate,0,High,0
55,"Highschool reunion! Had such a blast hanging out with these lovely people. Thank you Annie for organising and getting us all back together for such a fun and frivolous evening. Good food, excellent drinks and brilliant company. Would definitely recommend the venue we were hanging out in. And the theme was so much fun! I think we looked amazing in our fancy dress.","Congrats Jamie for surviving another year! It's definitely been a wild one between miving in, new job and adopting our first fur baby. I feel very lucky to be able to celebrate this birthday with you. Here we are enjoying dinner at the Sky Garden, picture taken by our lovely server for the evening. Can't wait to make more memories like this with you.",Moderate,"IF a person expresses enjoyment and enthusiasm about social gatherings, THEN extraversion is likely High because this reflects a tendency to engage positively in social situations."," IF a person shows appreciation for social celebrations and expresses a desire to create memorable experiences with others, THEN extraversion is likely High because this indicates a strong social inclination."," IF a person shares details about enjoyable experiences with friends and expresses excitement for future gatherings, THEN extraversion is likely High as this reflects a desire to maintain social connections.",,,Had such a blast hanging out with these lovely people.; I feel very lucky to be able to celebrate this birthday with you.; Can't wait to make more memories like this with you.,High,High,{'Uncategorized': 3},0,0,1,Moderate,High,0,High,0
57,"Tonight I discovered that if you hang out with a bunch of people who you were friends with in school but haven't seen for approximately.... 30 mumble years...., you will spend a LOT of the time feeling just as awkward as you did when you were a teenager, a LOT of the time comparing your current need for reading glasses and/or perimenopausal symptoms, and a LOT of the time feeling as though you've blocked out half your memories. ","40 today! Happy birthday to S. At what point do you think people will stop saying ""but you look about 12""? ?? Have a great day and I'll see you later for the birthday surprise. Just one question - how do you feel about abseiling/parachute jumping/crocodile wrestling? Asking for a friend, obviously.... ",Low,"IF a person expresses feelings of awkwardness in social situations but still participates in them, THEN extraversion is likely Moderate because it indicates some comfort with social interaction despite feeling nervous."," IF a person celebrates a friend's birthday and shows enthusiasm for making plans such as surprises, THEN extraversion is likely Moderate because it reflects an enjoyment of social events."," IF a person mentions adventurous activities or invites others to participate in thrilling experiences, THEN extraversion is likely Moderate because it shows an inclination towards exciting social interactions.",,,…you will spend a LOT of the time feeling just as awkward as you did when you were a teenager…; Happy birthday to S… I'll see you later for the birthday surprise.; Just one question - how do you feel about abseiling/parachute jumping/crocodile wrestling?,Moderate,Moderate,{'Uncategorized': 3},0,0,1,Low,Low,1,Moderate,0
58,Was so great to see my childhood friends at the catch up recently.  So many old faces and memories.  It's so weird how everything has changed but also stayed the same at the same time.  Lucky to still have such a great group and a toast to those that couldn't be with us. Missed and not forgotten. xo ,Well another year older but no wiser just about sums it up!  Happiest of birthdays to my partner in crime! Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway. Let's drink great wine and eat all the cake! London here we come. We love you xxx,Low,"IF a person expresses enjoyment from social gatherings and values connections with friends, THEN extraversion is likely High because this indicates comfort and satisfaction in social interactions."," IF a person plans celebrations with friends and expresses excitement about shared experiences, THEN extraversion is likely High because this reflects a desire for social engagement.",,,,Was so great to see my childhood friends at the catch up recently.; Expanding the birthday out over a whole weekend with drinks and dinner on our weekend getaway.,High,High,{'Uncategorized': 2},0,0,1,Low,Moderate,0,High,0
1,OMG we went to the movie theater and watched a new movie and had fun there was a cute boy a few rolls up from us and we was throwing popcorn at him to get his attention he met us outside after the movies and we talked and exchanged phone numbers and we've been talking ever since me and my friends enjoyed this night,I just want to shout out happy birthday to my amazing husband he always does everything for us and gets up and goes to work and works hard everyday to provide everything that we need I just want to say I'm so grateful for him and everything he has done for me and our children and I will continue to be grateful everyday,High,"IF a person describes a vibrant social outing with friends and interaction with a new acquaintance, THEN extraversion is likely High because it shows enjoyment of social interactions and connection with others."," IF a person shares public appreciation for a loved one with positive and heartfelt expression, THEN extraversion is likely High because this reflects openness and willingness to share personal feelings with others.",,,,we went to the movie theater and watched a new movie and had fun... throwing popcorn at him to get his attention... we talked and exchanged phone numbers.; I just want to shout out happy birthday to my amazing husband... I will continue to be grateful everyday.,High,High,{'Uncategorized': 2},1,1,1,High,High,1,High,1
2,"Such a great night with this incredible bunch, but I'm feeling it this morning! Everyone needs those friends who know you so well, who'll see you through anything and everything. And no matter how old we get are still up for a good girls night out, even if it now takes us two days to recover! Night at Sixways is always the best, love this place, and Love you all ???? ","It's official, he's getting older! Happy birthday to my gorgeous husband, another year old and not any wiser! The kindest, funniest soul I will ever meet, and the most amazing dog Dad you could ever find. Looking forward to spoiling you rotten today - and maybe a few surprises this weekend! Happy birthday favourite human xoxo",High,"IF a person expresses enjoyment of social gatherings and cherishes friendships, THEN extraversion is likely High because this reflects a strong connection with others and a preference for social interaction."," IF a person shares excitement and affection for close relationships and celebrates special occasions with loved ones, THEN extraversion is likely High because this indicates a love for social engagement and connection.",,,,"Such a great night with this incredible bunch.; Happy birthday to my gorgeous husband, another year old and not any wiser!",High,High,{'Uncategorized': 2},1,1,1,High,High,1,High,1
4,"Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time. It's great to see all these familiar faces smiling back at me! I really have missed you and seeing you here and now, I am reminded of some of the best times of my life!","Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more! I know that you will a wonderful journey ahead of you in days to come and I will be there to cheer you on the whole way. Enjoy your day, take some time to yourself and start back to work tomorrow. L,S",Moderate,"IF a person expresses excitement about seeing others and cherishes past experiences, THEN extraversion is likely High because this indicates strong social engagement and enjoyment."," IF a person shows enthusiasm for celebrating others' special occasions, THEN extraversion is likely High because this demonstrates a desire to connect and engage with others socially.",,,,Wow! It's so great to see everyone after all this time! I am so excited to be here and catch up on all that we missed over time.; Happy Birthday XXXX! Just wanted you to know I was thinking about you on your special day and wish you many more!,High,High,{'Uncategorized': 2},0,0,1,Moderate,High,0,High,0
16,"went to a great birthday party today at the drummond park animal experience
centre with ash, jen, jodie jake, alex and all the rest of the crew.  loved watching the
monkeys antics.  the lion cubs were so cute.  alex ate too much cake and looked alittle
green jake punched him in the stomach to sicee if he could make him sick ..","wow!  another landmark birthday.  we are all so looking forward to your birthday
bash at Fisher's restaurant.  can't believe you've come this far despite all the
hoops you've had to jump through in the past few years,  what an achievement
well done you.  I know you said no presents but well suspect there may still be one or two surprises",Low,"IF a person expresses enjoyment in social gatherings and interactions with friends, THEN extraversion is likely High because this indicates a comfort and preference for social settings."," IF a person shows excitement about an upcoming event that involves social interaction, THEN extraversion is likely High because it reflects an eagerness to engage with others.",,,,"went to a great birthday party today at the drummond park animal experience centre with ash, jen, jodie jake, alex and all the rest of the crew.; we are all so looking forward to your birthday bash at Fisher's restaurant.",High,High,{'Uncategorized': 2},0,0,1,Low,High,0,High,0
23,An unforgettable day with childhood friends! A magical day reminicising together and catching up after so long. Doesn't matter how long it's been we all slot back together like no time has passed at all. Watching our kids play together and seeing the cycles of life begin all over again is so emotional. Love you all xx #westhillgang #pyegreenmassive #childhood #friends,"Happy Birthday to my best friend, the best husband and dad in the world! I've celebrated 13 of your birthdays with you and every day in between and for all the chats and hugs, the love, the tough times, it is never ever enough. I look forward to seeing you every morning, I can't wait to see you after work every day. The love of my life, I am so in love with you. Happy Birthday, my love xxx",Low,"IF a person expresses joy and nostalgia about spending time with friends, THEN extraversion is likely High because this reflects enthusiasm for socializing."," IF a person expresses strong emotions of love and appreciation for close relationships, THEN extraversion is likely High as this indicates a positive orientation towards social connections.",,,,"An unforgettable day with childhood friends! A magical day reminiscing together and catching up after so long.; Happy Birthday to my best friend, the best husband and dad in the world! I’ve celebrated 13 of your birthdays with you and every day in between.",High,High,{'Uncategorized': 2},0,0,1,Low,High,0,High,0
25,"Was lucky enough to recently meet up and have an amazing time catching up with old friends from school who I hadn't seen in years, these are the people who made my childhood and shaped me into the person i am now so to see them all again and share memories was unbelievable, hopefully do it again soon","Happy birthday to my amazing partner, hope you have an fantastic day, thank you for everything you have done for me since the first moment I met you and putting up with me all the time, wishing you an amazing day and I've got a lot planned that will hopefully give you the day you deserve and to spoil you ",Moderate,"IF a person expresses joy from reconnecting with friends and reflects positively on social interactions, THEN extraversion is likely High because this shows a strong inclination towards socializing."," IF a person expresses gratitude towards close relationships and shares plans for celebrating others, THEN extraversion is likely High because this indicates a focus on social bonds and positive interactions.",,,,"Was lucky enough to recently meet up and have an amazing time catching up with old friends from school who I hadn't seen in years.; Happy birthday to my amazing partner, hope you have an fantastic day, thank you for everything you have done for me since the first moment I met you.",High,High,{'Uncategorized': 2},0,0,1,Moderate,High,0,High,0
29,"After all this time , the 5 of us still have our meet ups!  We just carry on chatting as though  we met yesterday and it's not just a yearly event. Great friends,  really lucky to be still in touch .
Luckily we're all in Good health... apart from a few old age creaks and cracks.
Already planned next year venue.","Well the next year is upon us! Yep you're having another birthday... watch out for an influx of children later , and be prepared for a lot of noise.
Just because you're a year older,  doesn't mean you can get a quiet life!
Glad you're my husband...
Happy birthday xxxx  and many more  to come xxxx",Moderate,"IF a person talks about maintaining long-term friendships and meeting regularly, THEN extraversion is likely High because this reflects a strong preference for social interactions."," IF a person expresses enthusiasm about social events and gatherings, THEN extraversion is likely High because it indicates an enjoyment of socializing."," IF a person engages in social celebrations and acknowledges noise and activity associated with children, THEN extraversion is likely High because it shows comfort in lively environments."," IF a person expresses affection and happiness towards family members and celebrates their special occasions, THEN extraversion is likely High because it reflects a strong social connection.",,"After all this time, the 5 of us still have our meet ups! We just carry on chatting as though we met yesterday.; Already planned next year venue.; watch out for an influx of children later, and be prepared for a lot of noise.; Glad you're my husband... Happy birthday xxxx and many more to come xxxx.",High,High,{'Uncategorized': 4},0,0,1,Moderate,Moderate,1,High,0
34,"just been to a reunion with my childhood friends and it was a great night and i would like to thank them all for great night.
 it brought back some good memorys and good times. at least this time we got drunk legally and didn't have to run off when we got caught.
i think we  should all do it again in the very near future. ","i would like to wish my better half a very happy birthday and i hope you have a very good day. you are the best thing that ever happened to me and i would be lost with out you.
 i've got a few special things planned for us to do for your birthday and i hope you will enjoy yourself.
",Moderate,"IF a person shares experiences about social gatherings with friends and expresses enjoyment, THEN extraversion is likely Moderate because it reflects a social connection and appreciation."," IF a person expresses affection and gratitude towards a significant other in a social context, THEN extraversion is likely Moderate because it indicates a value placed on intimate relationships and social connections."," IF a person plans special activities for a loved one, indicating thoughtfulness and a desire to engage, THEN extraversion is likely Moderate because it shows a proactive approach to social interactions.",,,just been to a reunion with my childhood friends and it was a great night and i would like to thank them all for great night.; i would like to wish my better half a very happy birthday and i hope you have a very good day.; i've got a few special things planned for us to do for your birthday and i hope you will enjoy yourself.,High,Moderate,{'Uncategorized': 3},1,1,1,Moderate,High,0,High,0
